/*Tiempo de exposicion:	2.4	1.8	1.5	1.5	1.2
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0059.OMAIII	barridoP_0057.OMAIII	barridoP_0056.OMAIII	barridoP_0056.OMAIII	barridoP_0055.OMAIII
1	61.0	60.0	61.0	61.0	60.0
2	0.0	0.0	0.0	0.0	0.0
3	138.0	101.0	83.0	83.0	65.0
4	236.0	197.0	178.0	178.0	158.0
5	227.0	190.0	172.0	172.0	151.0
6	207.0	170.0	152.0	152.0	135.0
7	212.0	174.0	157.0	157.0	138.0
8	221.0	185.0	166.0	166.0	147.0
9	229.0	190.0	170.0	170.0	152.0
10	204.0	168.0	149.0	149.0	131.0
11	211.0	174.0	155.0	155.0	137.0
12	236.0	201.0	182.0	182.0	163.0
13	214.0	179.0	160.0	160.0	142.0
14	201.0	165.0	145.0	145.0	127.0
15	217.0	178.0	159.0	159.0	140.0
16	233.0	195.0	176.0	176.0	156.0
17	238.0	198.0	177.0	177.0	156.0
18	204.0	166.0	149.0	149.0	130.0
19	264.0	214.0	189.0	189.0	163.0
20	221.0	185.0	167.0	167.0	149.0
21	231.0	191.0	171.0	171.0	151.0
22	219.0	181.0	162.0	162.0	143.0
23	209.0	173.0	155.0	155.0	138.0
24	227.0	190.0	172.0	172.0	152.0
25	239.0	198.0	176.0	176.0	155.0
26	236.0	191.0	169.0	169.0	148.0
27	226.0	185.0	165.0	165.0	145.0
28	225.0	189.0	169.0	169.0	152.0
29	249.0	205.0	183.0	183.0	160.0
30	222.0	182.0	162.0	162.0	141.0
31	213.0	176.0	155.0	155.0	138.0
32	226.0	190.0	169.0	169.0	151.0
33	216.0	178.0	160.0	160.0	142.0
34	209.0	173.0	153.0	153.0	135.0
35	202.0	166.0	149.0	149.0	129.0
36	230.0	192.0	174.0	174.0	154.0
37	232.0	193.0	174.0	174.0	155.0
38	205.0	169.0	151.0	151.0	132.0
39	217.0	180.0	162.0	162.0	143.0
40	223.0	186.0	169.0	169.0	151.0
41	222.0	185.0	166.0	166.0	147.0
42	207.0	170.0	152.0	152.0	134.0
43	208.0	172.0	153.0	153.0	137.0
44	220.0	184.0	165.0	165.0	148.0
45	223.0	185.0	168.0	168.0	147.0
46	210.0	173.0	155.0	155.0	136.0
47	216.0	178.0	159.0	159.0	141.0
48	219.0	184.0	166.0	166.0	149.0
49	225.0	186.0	168.0	168.0	148.0
50	215.0	177.0	158.0	158.0	137.0
51	252.0	205.0	181.0	181.0	158.0
52	226.0	188.0	170.0	170.0	151.0
53	221.0	183.0	166.0	166.0	148.0
54	216.0	177.0	158.0	158.0	138.0
55	218.0	179.0	160.0	160.0	140.0
56	224.0	186.0	169.0	169.0	151.0
57	214.0	178.0	161.0	161.0	143.0
58	206.0	171.0	152.0	152.0	133.0
59	214.0	176.0	157.0	157.0	138.0
