/*Tiempo de exposicion:	3	2.1	1.8	1.5	1.2
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0060.OMAIII	barridoP_0058.OMAIII	barridoP_0057.OMAIII	barridoP_0056.OMAIII	barridoP_0055.OMAIII
1	60.0	60.0	60.0	61.0	60.0
2	0.0	0.0	0.0	0.0	0.0
3	174.0	120.0	101.0	83.0	65.0
4	272.0	216.0	197.0	178.0	158.0
5	264.0	209.0	190.0	172.0	151.0
6	243.0	189.0	170.0	152.0	135.0
7	249.0	193.0	174.0	157.0	138.0
8	260.0	203.0	185.0	166.0	147.0
9	267.0	211.0	190.0	170.0	152.0
10	242.0	187.0	168.0	149.0	131.0
11	248.0	192.0	174.0	155.0	137.0
12	275.0	218.0	201.0	182.0	163.0
13	252.0	196.0	179.0	160.0	142.0
14	238.0	183.0	165.0	145.0	127.0
15	255.0	197.0	178.0	159.0	140.0
16	272.0	213.0	195.0	176.0	156.0
17	278.0	217.0	198.0	177.0	156.0
18	240.0	186.0	166.0	149.0	130.0
19	313.0	238.0	214.0	189.0	163.0
20	258.0	203.0	185.0	167.0	149.0
21	269.0	210.0	191.0	171.0	151.0
22	257.0	200.0	181.0	162.0	143.0
23	245.0	191.0	173.0	155.0	138.0
24	264.0	208.0	190.0	172.0	152.0
25	282.0	219.0	198.0	176.0	155.0
26	280.0	213.0	191.0	169.0	148.0
27	266.0	205.0	185.0	165.0	145.0
28	262.0	208.0	189.0	169.0	152.0
29	294.0	227.0	205.0	183.0	160.0
30	263.0	202.0	182.0	162.0	141.0
31	251.0	193.0	176.0	155.0	138.0
32	264.0	207.0	190.0	169.0	151.0
33	252.0	197.0	178.0	160.0	142.0
34	247.0	190.0	173.0	153.0	135.0
35	239.0	184.0	166.0	149.0	129.0
36	267.0	211.0	192.0	174.0	154.0
37	270.0	212.0	193.0	174.0	155.0
38	240.0	186.0	169.0	151.0	132.0
39	255.0	199.0	180.0	162.0	143.0
40	259.0	204.0	186.0	169.0	151.0
41	261.0	204.0	185.0	166.0	147.0
42	243.0	188.0	170.0	152.0	134.0
43	243.0	190.0	172.0	153.0	137.0
44	255.0	202.0	184.0	165.0	148.0
45	260.0	204.0	185.0	168.0	147.0
46	248.0	192.0	173.0	155.0	136.0
47	255.0	198.0	178.0	159.0	141.0
48	256.0	201.0	184.0	166.0	149.0
49	264.0	207.0	186.0	168.0	148.0
50	254.0	196.0	177.0	158.0	137.0
51	299.0	228.0	205.0	181.0	158.0
52	264.0	207.0	188.0	170.0	151.0
53	257.0	202.0	183.0	166.0	148.0
54	255.0	197.0	177.0	158.0	138.0
55	254.0	198.0	179.0	160.0	140.0
56	261.0	206.0	186.0	169.0	151.0
57	251.0	196.0	178.0	161.0	143.0
58	242.0	188.0	171.0	152.0	133.0
59	251.0	194.0	176.0	157.0	138.0
60	282.0	221.0	201.0	179.0	159.0
61	260.0	203.0	185.0	166.0	147.0
