/*Tiempo de exposicion:	0.6	0.42	0.3	0.3	0.24
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0053.OMAIII	barridoP_0052.OMAIII	barridoP_0051.OMAIII	barridoP_0051.OMAIII	barridoP_0050.OMAIII
1	61.0	60.0	60.0	60.0	61.0
2	0.0	0.0	0.0	0.0	0.0
3	29.0	18.0	10.0	10.0	6.0
4	122.0	110.0	104.0	104.0	98.0
5	114.0	103.0	96.0	96.0	90.0
6	97.0	87.0	79.0	79.0	76.0
7	99.0	89.0	80.0	80.0	76.0
8	111.0	100.0	92.0	92.0	88.0
9	113.0	101.0	94.0	94.0	91.0
10	93.0	82.0	75.0	75.0	71.0
11	100.0	89.0	81.0	81.0	77.0
12	125.0	113.0	107.0	107.0	103.0
13	106.0	96.0	89.0	89.0	84.0
14	90.0	80.0	72.0	72.0	69.0
15	101.0	90.0	82.0	82.0	78.0
16	118.0	106.0	98.0	98.0	94.0
17	115.0	103.0	95.0	95.0	90.0
18	94.0	83.0	75.0	75.0	72.0
19	112.0	97.0	87.0	87.0	82.0
20	111.0	101.0	94.0	94.0	90.0
21	112.0	99.0	91.0	91.0	88.0
22	104.0	93.0	86.0	86.0	82.0
23	100.0	90.0	83.0	83.0	79.0
24	116.0	104.0	97.0	97.0	93.0
25	113.0	101.0	92.0	92.0	87.0
26	103.0	90.0	82.0	82.0	77.0
27	105.0	93.0	85.0	85.0	80.0
28	114.0	103.0	95.0	95.0	91.0
29	115.0	103.0	94.0	94.0	90.0
30	101.0	89.0	81.0	81.0	76.0
31	99.0	88.0	80.0	80.0	77.0
32	113.0	102.0	94.0	94.0	92.0
33	107.0	96.0	89.0	89.0	85.0
34	96.0	85.0	77.0	77.0	74.0
35	93.0	82.0	74.0	74.0	71.0
36	118.0	106.0	99.0	99.0	95.0
37	116.0	105.0	97.0	97.0	94.0
38	95.0	84.0	77.0	77.0	74.0
39	107.0	95.0	87.0	87.0	84.0
40	114.0	103.0	95.0	95.0	92.0
41	110.0	98.0	90.0	90.0	86.0
42	97.0	86.0	79.0	79.0	75.0
43	99.0	89.0	82.0	82.0	78.0
44	112.0	100.0	94.0	94.0	91.0
45	109.0	98.0	90.0	90.0	87.0
46	99.0	88.0	81.0	81.0	77.0
47	101.0	90.0	84.0	84.0	79.0
48	113.0	102.0	96.0	96.0	92.0
49	111.0	99.0	91.0	91.0	87.0
50	98.0	86.0	79.0	79.0	76.0
51	110.0	96.0	87.0	87.0	83.0
52	113.0	101.0	95.0	95.0	90.0
53	111.0	99.0	92.0	92.0	89.0
54	100.0	88.0	80.0	80.0	76.0
55	103.0	91.0	84.0	84.0	80.0
56	113.0	102.0	95.0	95.0	90.0
57	106.0	95.0	89.0	89.0	84.0
58	97.0	86.0	80.0	80.0	76.0
59	101.0	89.0	82.0	82.0	78.0
60	117.0	106.0	98.0	98.0	95.0
61	110.0	97.0	91.0	91.0	87.0
62	96.0	85.0	79.0	79.0	74.0
63	104.0	92.0	84.0	84.0	81.0
64	119.0	107.0	100.0	100.0	96.0
65	110.0	98.0	91.0	91.0	88.0
66	96.0	85.0	79.0	79.0	75.0
67	100.0	89.0	82.0	82.0	78.0
68	113.0	103.0	96.0	96.0	92.0
69	106.0	96.0	89.0	89.0	85.0
70	96.0	86.0	77.0	77.0	75.0
71	101.0	90.0	82.0	82.0	79.0
72	114.0	102.0	96.0	96.0	92.0
73	107.0	96.0	89.0	89.0	85.0
74	100.0	89.0	82.0	82.0	77.0
75	103.0	92.0	85.0	85.0	82.0
76	110.0	101.0	93.0	93.0	89.0
77	108.0	97.0	90.0	90.0	86.0
78	106.0	94.0	87.0	87.0	82.0
79	102.0	90.0	82.0	82.0	78.0
80	113.0	102.0	95.0	95.0	91.0
81	109.0	99.0	90.0	90.0	87.0
82	96.0	85.0	77.0	77.0	73.0
83	104.0	92.0	85.0	85.0	82.0
84	118.0	107.0	100.0	100.0	95.0
85	104.0	95.0	87.0	87.0	83.0
86	101.0	91.0	84.0	84.0	80.0
87	107.0	94.0	87.0	87.0	83.0
88	111.0	99.0	92.0	92.0	88.0
89	108.0	97.0	89.0	89.0	85.0
90	104.0	93.0	85.0	85.0	82.0
91	99.0	89.0	81.0	81.0	78.0
92	111.0	99.0	93.0	93.0	89.0
93	111.0	99.0	92.0	92.0	88.0
94	100.0	88.0	80.0	80.0	75.0
95	102.0	92.0	84.0	84.0	80.0
96	112.0	101.0	96.0	96.0	91.0
97	111.0	100.0	93.0	93.0	88.0
98	99.0	87.0	80.0	80.0	76.0
99	102.0	91.0	84.0	84.0	79.0
100	117.0	105.0	97.0	97.0	92.0
101	107.0	96.0	88.0	88.0	85.0
102	103.0	91.0	83.0	83.0	79.0
103	104.0	93.0	87.0	87.0	81.0
104	119.0	109.0	101.0	101.0	97.0
105	110.0	100.0	93.0	93.0	89.0
106	100.0	89.0	82.0	82.0	79.0
107	103.0	92.0	85.0	85.0	80.0
108	112.0	101.0	95.0	95.0	90.0
109	108.0	98.0	90.0	90.0	87.0
110	95.0	85.0	78.0	78.0	75.0
111	101.0	90.0	82.0	82.0	79.0
112	113.0	103.0	94.0	94.0	91.0
113	112.0	101.0	93.0	93.0	91.0
114	96.0	85.0	79.0	79.0	74.0
115	97.0	86.0	79.0	79.0	76.0
116	115.0	104.0	97.0	97.0	93.0
117	115.0	103.0	96.0	96.0	93.0
118	98.0	89.0	81.0	81.0	77.0
119	97.0	87.0	80.0	80.0	76.0
120	122.0	109.0	100.0	100.0	95.0
121	124.0	113.0	106.0	106.0	102.0
122	97.0	88.0	80.0	80.0	77.0
123	109.0	99.0	90.0	90.0	87.0
124	110.0	99.0	93.0	93.0	88.0
125	121.0	111.0	103.0	103.0	99.0
126	101.0	91.0	84.0	84.0	80.0
127	104.0	93.0	85.0	85.0	80.0
128	112.0	103.0	94.0	94.0	91.0
129	111.0	101.0	94.0	94.0	90.0
130	96.0	86.0	79.0	79.0	75.0
131	105.0	93.0	86.0	86.0	82.0
132	114.0	102.0	96.0	96.0	91.0
133	118.0	107.0	99.0	99.0	96.0
134	101.0	89.0	81.0	81.0	78.0
135	107.0	97.0	90.0	90.0	86.0
136	112.0	101.0	93.0	93.0	91.0
137	115.0	104.0	95.0	95.0	90.0
138	100.0	87.0	80.0	80.0	76.0
139	102.0	91.0	83.0	83.0	80.0
140	118.0	106.0	100.0	100.0	95.0
141	113.0	100.0	91.0	91.0	88.0
142	114.0	98.0	88.0	88.0	83.0
143	97.0	87.0	80.0	80.0	76.0
144	114.0	103.0	95.0	95.0	90.0
145	111.0	101.0	92.0	92.0	88.0
146	101.0	87.0	81.0	81.0	77.0
147	104.0	92.0	85.0	85.0	82.0
148	115.0	103.0	97.0	97.0	93.0
149	108.0	96.0	88.0	88.0	86.0
150	102.0	90.0	83.0	83.0	80.0
151	101.0	90.0	83.0	83.0	79.0
152	111.0	101.0	94.0	94.0	91.0
153	110.0	98.0	91.0	91.0	88.0
154	106.0	93.0	85.0	85.0	80.0
155	104.0	93.0	85.0	85.0	83.0
156	111.0	101.0	94.0	94.0	91.0
157	108.0	97.0	90.0	90.0	86.0
158	96.0	86.0	78.0	78.0	76.0
159	102.0	91.0	83.0	83.0	80.0
160	113.0	102.0	96.0	96.0	92.0
161	107.0	97.0	89.0	89.0	87.0
162	97.0	88.0	81.0	81.0	77.0
163	101.0	90.0	83.0	83.0	80.0
164	115.0	105.0	97.0	97.0	94.0
