/* Tiempo de exposicion:	18	12	12	9	9
/* Numero de Scans	1	1	1	1	1
/* Scans Ignorados	0	0	0	0	0
/* Modo de Adquiquisicion	1 	1 	1 	1 	1 
/* Temperatura del detector	0 	0 	0 	0 	0 
/*Red	2	2	2	2	2
/*Posicion del Contador	438	438	438	438	438
/*Archivo:	barridoP_0000.OMAIII	barridoP_0010.OMAIII	barridoP_0020.OMAIII	barridoP_0030.OMAIII	barridoP_0040.OMAIII
1	60.0	60.0	60.0	60.0	59.0
2	930.0	557.0	566.0	364.0	374.0
3	1079.0	729.0	733.0	547.0	560.0
4	1204.0	842.0	847.0	660.0	676.0
5	1201.0	839.0	844.0	660.0	677.0
6	1146.0	798.0	797.0	630.0	639.0
7	1176.0	816.0	821.0	650.0	655.0
8	1171.0	813.0	823.0	649.0	656.0
9	1219.0	850.0	854.0	674.0	678.0
10	1162.0	805.0	816.0	635.0	638.0
11	1174.0	813.0	827.0	638.0	652.0
12	1201.0	845.0	847.0	661.0	675.0
13	1150.0	802.0	809.0	635.0	643.0
14	1150.0	792.0	801.0	622.0	643.0
15	1212.0	842.0	851.0	661.0	675.0
16	1234.0	860.0	880.0	685.0	688.0
17	1313.0	914.0	935.0	713.0	721.0
18	1175.0	818.0	836.0	627.0	640.0
19	1586.0	1098.0	1120.0	837.0	857.0
20	1207.0	849.0	847.0	646.0	681.0
21	1284.0	907.0	883.0	699.0	733.0
22	1209.0	846.0	850.0	688.0	716.0
23	1149.0	800.0	814.0	661.0	685.0
24	1196.0	845.0	855.0	702.0	686.0
25	1335.0	930.0	952.0	763.0	737.0
26	1397.0	970.0	982.0	758.0	765.0
27	1281.0	899.0	903.0	695.0	719.0
28	1197.0	843.0	862.0	666.0	696.0
29	1412.0	985.0	1003.0	775.0	808.0
30	1277.0	895.0	905.0	711.0	725.0
31	1200.0	842.0	861.0	678.0	692.0
32	1215.0	857.0	874.0	684.0	714.0
33	1167.0	823.0	832.0	657.0	680.0
34	1198.0	839.0	844.0	677.0	693.0
35	1160.0	811.0	817.0	652.0	679.0
36	1207.0	849.0	851.0	691.0	709.0
37	1216.0	857.0	855.0	704.0	710.0
38	1145.0	794.0	803.0	652.0	655.0
39	1176.0	821.0	829.0	668.0	674.0
40	1164.0	815.0	822.0	656.0	654.0
41	1204.0	843.0	847.0	674.0	671.0
42	1155.0	804.0	813.0	632.0	641.0
43	1140.0	796.0	806.0	625.0	637.0
44	1150.0	805.0	821.0	634.0	646.0
45	1209.0	846.0	869.0	664.0	671.0
46	1185.0	828.0	856.0	641.0	651.0
47	1224.0	859.0	889.0	658.0	676.0
48	1173.0	834.0	867.0	635.0	665.0
49	1255.0	889.0	923.0	675.0	720.0
50	1264.0	896.0	925.0	678.0	727.0
51	1507.0	1062.0	1095.0	816.0	866.0
52	1265.0	899.0	905.0	704.0	758.0
53	1210.0	869.0	840.0	694.0	742.0
54	1235.0	866.0	872.0	728.0	768.0
55	1209.0	846.0	859.0	721.0	759.0
56	1189.0	835.0	853.0	721.0	702.0
57	1167.0	821.0	825.0	703.0	664.0
58	1163.0	815.0	818.0	660.0	661.0
59	1191.0	832.0	850.0	665.0	686.0
60	1301.0	911.0	932.0	725.0	746.0
61	1208.0	849.0	873.0	677.0	678.0
62	1177.0	825.0	840.0	651.0	655.0
63	1202.0	846.0	866.0	657.0	684.0
64	1232.0	871.0	887.0	679.0	716.0
65	1193.0	843.0	854.0	664.0	697.0
66	1168.0	823.0	826.0	657.0	679.0
67	1165.0	819.0	829.0	662.0	687.0
68	1183.0	834.0	851.0	678.0	700.0
69	1188.0	835.0	851.0	677.0	686.0
70	1182.0	829.0	851.0	666.0	671.0
71	1194.0	839.0	862.0	664.0	679.0
72	1200.0	850.0	872.0	669.0	696.0
73	1205.0	851.0	879.0	671.0	696.0
74	1221.0	861.0	881.0	676.0	711.0
75	1208.0	855.0	879.0	675.0	711.0
76	1217.0	860.0	875.0	689.0	726.0
77	1183.0	839.0	851.0	672.0	710.0
78	1236.0	873.0	879.0	707.0	731.0
79	1208.0	852.0	878.0	696.0	720.0
80	1210.0	856.0	886.0	696.0	712.0
81	1207.0	856.0	895.0	688.0	697.0
82	1246.0	877.0	930.0	689.0	703.0
83	1286.0	915.0	898.0	694.0	733.0
84	1244.0	897.0	872.0	704.0	749.0
85	1189.0	837.0	848.0	693.0	759.0
86	1169.0	820.0	843.0	690.0	742.0
87	1257.0	881.0	906.0	757.0	720.0
88	1196.0	846.0	878.0	719.0	681.0
89	1234.0	872.0	906.0	686.0	702.0
90	1201.0	855.0	867.0	657.0	693.0
91	1182.0	840.0	857.0	654.0	694.0
92	1235.0	877.0	897.0	696.0	752.0
93	1214.0	863.0	887.0	695.0	741.0
94	1287.0	909.0	920.0	740.0	762.0
95	1247.0	882.0	885.0	722.0	743.0
96	1193.0	846.0	862.0	699.0	726.0
97	1244.0	876.0	907.0	721.0	747.0
98	1192.0	839.0	861.0	685.0	694.0
99	1238.0	874.0	893.0	709.0	710.0
100	1322.0	934.0	940.0	745.0	773.0
101	1195.0	847.0	849.0	674.0	719.0
102	1295.0	905.0	940.0	733.0	766.0
103	1181.0	830.0	859.0	682.0	699.0
104	1202.0	855.0	882.0	695.0	694.0
105	1201.0	853.0	886.0	684.0	688.0
106	1176.0	835.0	860.0	648.0	685.0
107	1248.0	887.0	925.0	688.0	730.0
108	1192.0	852.0	898.0	672.0	716.0
109	1216.0	874.0	906.0	684.0	732.0
110	1164.0	836.0	861.0	662.0	706.0
111	1217.0	873.0	888.0	697.0	764.0
112	1235.0	886.0	885.0	720.0	790.0
113	1227.0	874.0	881.0	744.0	788.0
114	1205.0	849.0	863.0	734.0	760.0
115	1175.0	826.0	863.0	714.0	720.0
116	1198.0	850.0	889.0	720.0	707.0
117	1241.0	885.0	905.0	715.0	713.0
118	1178.0	841.0	865.0	662.0	687.0
119	1217.0	854.0	876.0	666.0	721.0
120	1492.0	1036.0	1074.0	818.0	873.0
121	1215.0	875.0	899.0	709.0	743.0
122	1186.0	849.0	859.0	688.0	720.0
123	1228.0	877.0	891.0	718.0	757.0
124	1182.0	844.0	856.0	698.0	752.0
125	1210.0	865.0	881.0	725.0	757.0
126	1166.0	824.0	864.0	702.0	708.0
127	1275.0	900.0	951.0	737.0	747.0
128	1222.0	874.0	923.0	697.0	710.0
129	1220.0	882.0	917.0	687.0	719.0
130	1204.0	869.0	892.0	664.0	732.0
131	1272.0	913.0	930.0	717.0	804.0
132	1218.0	878.0	878.0	718.0	795.0
133	1192.0	855.0	881.0	736.0	782.0
134	1183.0	837.0	863.0	727.0	752.0
135	1181.0	845.0	858.0	721.0	724.0
136	1199.0	853.0	895.0	728.0	721.0
137	1363.0	964.0	1001.0	777.0	813.0
138	1288.0	917.0	944.0	720.0	749.0
139	1212.0	866.0	913.0	696.0	721.0
140	1271.0	913.0	970.0	714.0	776.0
