/*Tiempo de exposicion:	0.24	0.3	0.42	0.6	0.9	1.2	1.5	1.8	2.1	2.4	3	4.2	6	9	12	15	18
/*Numero de Scans	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000
/*Archivo:	barridoP_0050.OMAIII	barridoP_0051.OMAIII	barridoP_0052.OMAIII	barridoP_0053.OMAIII	barridoP_0054.OMAIII	barridoP_0055.OMAIII	barridoP_0056.OMAIII	barridoP_0057.OMAIII	barridoP_0058.OMAIII	barridoP_0059.OMAIII	barridoP_0060.OMAIII	barridoP_0061.OMAIII	barridoP_0062.OMAIII	barridoP_0063.OMAIII	barridoP_0064.OMAIII	barridoP_0065.OMAIII	barridoP_0066.OMAIII
162	77.0	81.0	88.0	97.0	117.0	135.0	151.0	170.0	188.0	206.0	242.0	313.0	419.0	596.0	771.0	943.0	1116.0
163	80.0	83.0	90.0	101.0	119.0	139.0	157.0	174.0	193.0	210.0	247.0	320.0	428.0	608.0	785.0	963.0	1139.0
164	94.0	97.0	105.0	115.0	135.0	152.0	171.0	190.0	208.0	227.0	263.0	337.0	448.0	630.0	812.0	992.0	1171.0
165	88.0	92.0	101.0	112.0	131.0	151.0	170.0	190.0	210.0	229.0	268.0	346.0	462.0	655.0	845.0	1033.0	1221.0
166	79.0	83.0	90.0	102.0	121.0	141.0	158.0	178.0	199.0	217.0	255.0	332.0	446.0	637.0	823.0	1009.0	1193.0
167	79.0	84.0	91.0	101.0	119.0	139.0	157.0	174.0	193.0	211.0	248.0	321.0	431.0	610.0	789.0	968.0	1143.0
168	92.0	96.0	103.0	114.0	133.0	152.0	171.0	189.0	207.0	225.0	264.0	338.0	447.0	630.0	811.0	991.0	1168.0
169	90.0	93.0	99.0	111.0	129.0	146.0	164.0	182.0	200.0	218.0	253.0	323.0	429.0	603.0	777.0	948.0	1118.0
170	81.0	84.0	92.0	103.0	123.0	143.0	162.0	183.0	201.0	221.0	259.0	339.0	454.0	645.0	835.0	1024.0	1210.0
171	82.0	85.0	93.0	104.0	122.0	141.0	160.0	179.0	197.0	217.0	252.0	327.0	437.0	620.0	802.0	981.0	1159.0
172	91.0	94.0	101.0	112.0	131.0	149.0	166.0	185.0	202.0	221.0	257.0	330.0	437.0	616.0	793.0	967.0	1141.0
173	85.0	89.0	96.0	107.0	125.0	145.0	162.0	180.0	199.0	217.0	253.0	326.0	436.0	614.0	792.0	970.0	1145.0
174	79.0	82.0	89.0	101.0	118.0	137.0	155.0	173.0	191.0	210.0	246.0	319.0	427.0	605.0	784.0	960.0	1135.0
175	79.0	82.0	89.0	101.0	119.0	138.0	155.0	174.0	192.0	211.0	247.0	321.0	429.0	610.0	791.0	967.0	1143.0
176	92.0	96.0	104.0	115.0	135.0	154.0	172.0	192.0	212.0	230.0	269.0	346.0	461.0	651.0	838.0	1026.0	1210.0
177	88.0	92.0	100.0	110.0	127.0	146.0	164.0	182.0	200.0	217.0	253.0	324.0	429.0	605.0	778.0	951.0	1122.0
178	75.0	79.0	86.0	96.0	114.0	131.0	148.0	166.0	184.0	200.0	236.0	305.0	409.0	580.0	750.0	919.0	1088.0
179	80.0	84.0	92.0	103.0	123.0	141.0	160.0	178.0	199.0	217.0	255.0	330.0	443.0	629.0	814.0	998.0	1180.0
180	90.0	95.0	101.0	113.0	131.0	149.0	166.0	185.0	203.0	221.0	257.0	328.0	435.0	611.0	788.0	962.0	1134.0
181	88.0	92.0	99.0	110.0	127.0	146.0	163.0	181.0	199.0	216.0	253.0	323.0	429.0	603.0	776.0	949.0	1118.0
182	82.0	86.0	96.0	107.0	128.0	151.0	170.0	192.0	213.0	234.0	277.0	362.0	486.0	695.0	901.0	1106.0	1309.0
183	81.0	85.0	93.0	102.0	122.0	140.0	157.0	175.0	194.0	212.0	249.0	321.0	430.0	609.0	788.0	965.0	1138.0
184	92.0	97.0	104.0	115.0	135.0	154.0	174.0	193.0	212.0	231.0	270.0	348.0	462.0	653.0	842.0	1028.0	1215.0
185	84.0	88.0	96.0	106.0	124.0	142.0	160.0	179.0	196.0	215.0	250.0	321.0	430.0	607.0	783.0	957.0	1130.0
186	76.0	79.0	87.0	98.0	117.0	135.0	154.0	172.0	190.0	210.0	246.0	320.0	429.0	612.0	792.0	971.0	1148.0
187	80.0	84.0	91.0	101.0	120.0	139.0	157.0	175.0	194.0	211.0	248.0	322.0	430.0	610.0	788.0	966.0	1141.0
188	91.0	94.0	102.0	112.0	130.0	148.0	166.0	182.0	201.0	219.0	254.0	325.0	430.0	606.0	778.0	949.0	1118.0
189	90.0	93.0	101.0	111.0	128.0	147.0	166.0	184.0	202.0	220.0	256.0	329.0	437.0	615.0	793.0	970.0	1143.0
190	77.0	80.0	87.0	98.0	116.0	134.0	152.0	170.0	188.0	206.0	241.0	312.0	419.0	596.0	770.0	944.0	1115.0
191	79.0	83.0	89.0	101.0	120.0	137.0	155.0	173.0	190.0	210.0	245.0	316.0	424.0	601.0	778.0	951.0	1124.0
192	93.0	97.0	107.0	118.0	141.0	163.0	183.0	204.0	226.0	247.0	290.0	375.0	502.0	710.0	919.0	1123.0	1328.0
193	85.0	90.0	97.0	108.0	125.0	142.0	160.0	177.0	195.0	213.0	247.0	319.0	422.0	596.0	769.0	939.0	1107.0
194	76.0	82.0	89.0	100.0	120.0	138.0	156.0	175.0	194.0	214.0	251.0	327.0	439.0	625.0	810.0	991.0	1173.0
195	82.0	86.0	93.0	105.0	126.0	146.0	165.0	186.0	206.0	226.0	266.0	346.0	466.0	663.0	858.0	1050.0	1242.0
196	93.0	95.0	103.0	114.0	133.0	150.0	169.0	188.0	206.0	223.0	261.0	333.0	441.0	621.0	801.0	976.0	1152.0
197	87.0	91.0	98.0	108.0	127.0	144.0	161.0	179.0	197.0	215.0	251.0	321.0	426.0	601.0	773.0	945.0	1117.0
198	77.0	80.0	87.0	100.0	119.0	139.0	157.0	177.0	195.0	216.0	253.0	330.0	444.0	632.0	818.0	1001.0	1185.0
199	85.0	89.0	98.0	112.0	134.0	156.0	179.0	201.0	222.0	244.0	289.0	377.0	510.0	726.0	941.0	1154.0	1367.0
200	93.0	96.0	104.0	114.0	134.0	151.0	171.0	188.0	206.0	225.0	263.0	335.0	445.0	626.0	805.0	983.0	1159.0
201	88.0	90.0	100.0	110.0	130.0	150.0	167.0	188.0	207.0	225.0	263.0	340.0	454.0	641.0	827.0	1013.0	1196.0
202	77.0	81.0	89.0	100.0	120.0	141.0	160.0	180.0	200.0	218.0	258.0	337.0	453.0	646.0	838.0	1027.0	1215.0
203	79.0	84.0	90.0	102.0	120.0	140.0	158.0	176.0	195.0	213.0	250.0	324.0	434.0	616.0	798.0	977.0	1153.0
204	95.0	99.0	106.0	118.0	137.0	156.0	175.0	194.0	214.0	233.0	271.0	348.0	461.0	650.0	836.0	1020.0	1204.0
205	91.0	94.0	103.0	115.0	136.0	156.0	176.0	196.0	216.0	238.0	278.0	359.0	480.0	681.0	880.0	1075.0	1269.0
206	79.0	82.0	90.0	102.0	122.0	141.0	159.0	180.0	198.0	218.0	255.0	334.0	448.0	638.0	826.0	1013.0	1197.0
207	79.0	83.0	91.0	102.0	121.0	138.0	158.0	176.0	195.0	213.0	251.0	324.0	436.0	617.0	798.0	978.0	1155.0
208	89.0	92.0	100.0	111.0	131.0	150.0	169.0	188.0	206.0	226.0	263.0	338.0	451.0	636.0	820.0	1000.0	1180.0
209	86.0	90.0	98.0	109.0	128.0	146.0	163.0	182.0	201.0	218.0	255.0	328.0	437.0	616.0	796.0	972.0	1147.0
210	81.0	83.0	91.0	103.0	121.0	139.0	157.0	175.0	194.0	212.0	250.0	323.0	431.0	613.0	792.0	970.0	1146.0
211	83.0	86.0	94.0	105.0	125.0	143.0	163.0	182.0	201.0	220.0	258.0	335.0	449.0	635.0	821.0	1005.0	1188.0
212	93.0	97.0	104.0	116.0	133.0	152.0	171.0	188.0	208.0	225.0	261.0	336.0	445.0	626.0	806.0	983.0	1161.0
213	85.0	90.0	99.0	110.0	130.0	150.0	170.0	188.0	208.0	228.0	268.0	347.0	465.0	658.0	852.0	1043.0	1232.0
214	78.0	81.0	89.0	99.0	117.0	135.0	153.0	171.0	188.0	206.0	240.0	311.0	416.0	591.0	763.0	934.0	1103.0
215	81.0	85.0	93.0	103.0	122.0	140.0	159.0	178.0	197.0	215.0	252.0	327.0	438.0	621.0	804.0	985.0	1163.0
216	90.0	92.0	99.0	110.0	128.0	145.0	164.0	181.0	200.0	219.0	254.0	326.0	432.0	608.0	784.0	958.0	1128.0
217	91.0	94.0	102.0	113.0	132.0	152.0	170.0	189.0	208.0	226.0	264.0	339.0	451.0	636.0	820.0	1002.0	1181.0
218	78.0	81.0	89.0	100.0	118.0	137.0	156.0	174.0	192.0	210.0	246.0	321.0	431.0	611.0	791.0	970.0	1146.0
219	88.0	95.0	104.0	121.0	148.0	175.0	200.0	228.0	256.0	281.0	334.0	439.0	598.0	862.0	1119.0	1378.0	1632.0
220	94.0	97.0	104.0	115.0	132.0	151.0	170.0	188.0	207.0	225.0	261.0	334.0	442.0	623.0	800.0	976.0	1152.0
221	90.0	93.0	101.0	113.0	132.0	153.0	172.0	193.0	212.0	230.0	269.0	348.0	464.0	657.0	849.0	1038.0	1227.0
222	79.0	82.0	90.0	101.0	120.0	138.0	156.0	175.0	193.0	211.0	247.0	320.0	429.0	609.0	788.0	964.0	1140.0
223	77.0	81.0	89.0	100.0	118.0	136.0	154.0	172.0	192.0	209.0	246.0	320.0	429.0	611.0	790.0	968.0	1144.0
224	88.0	92.0	100.0	111.0	128.0	146.0	163.0	181.0	198.0	216.0	253.0	323.0	428.0	603.0	775.0	947.0	1118.0
225	90.0	93.0	101.0	112.0	131.0	150.0	168.0	188.0	205.0	224.0	261.0	336.0	447.0	631.0	812.0	992.0	1172.0
226	78.0	84.0	91.0	102.0	122.0	141.0	160.0	179.0	199.0	219.0	256.0	333.0	447.0	634.0	823.0	1008.0	1192.0
227	82.0	87.0	95.0	107.0	130.0	149.0	171.0	191.0	213.0	234.0	275.0	359.0	483.0	689.0	893.0	1095.0	1293.0
228	91.0	94.0	102.0	111.0	131.0	148.0	165.0	183.0	201.0	219.0	255.0	326.0	432.0	608.0	783.0	956.0	1127.0
229	88.0	92.0	99.0	110.0	129.0	148.0	167.0	185.0	204.0	223.0	261.0	336.0	448.0	632.0	818.0	998.0	1178.0
230	79.0	82.0	90.0	101.0	119.0	138.0	156.0	175.0	193.0	212.0	249.0	323.0	432.0	615.0	795.0	974.0	1153.0
231	79.0	83.0	90.0	101.0	121.0	138.0	156.0	175.0	194.0	211.0	249.0	322.0	431.0	613.0	793.0	971.0	1148.0
232	89.0	93.0	101.0	112.0	131.0	150.0	169.0	187.0	206.0	226.0	263.0	338.0	449.0	635.0	815.0	998.0	1179.0
233	90.0	94.0	101.0	112.0	132.0	150.0	168.0	187.0	207.0	225.0	264.0	338.0	450.0	635.0	818.0	1000.0	1180.0
234	78.0	82.0	89.0	100.0	119.0	136.0	154.0	171.0	189.0	207.0	242.0	313.0	420.0	594.0	767.0	940.0	1112.0
235	82.0	86.0	94.0	105.0	124.0	142.0	160.0	180.0	197.0	216.0	253.0	327.0	437.0	618.0	799.0	978.0	1156.0
236	91.0	94.0	101.0	112.0	131.0	148.0	165.0	183.0	202.0	219.0	255.0	325.0	432.0	606.0	781.0	953.0	1123.0
237	87.0	90.0	98.0	109.0	127.0	147.0	164.0	182.0	201.0	219.0	256.0	328.0	437.0	618.0	796.0	975.0	1150.0
238	82.0	84.0	92.0	104.0	124.0	144.0	164.0	183.0	204.0	224.0	263.0	340.0	458.0	653.0	846.0	1037.0	1226.0
239	81.0	84.0	92.0	102.0	123.0	143.0	162.0	179.0	200.0	219.0	257.0	334.0	448.0	637.0	824.0	1011.0	1194.0
240	92.0	96.0	103.0	114.0	132.0	151.0	168.0	186.0	205.0	223.0	258.0	331.0	437.0	615.0	793.0	966.0	1139.0
241	88.0	91.0	98.0	109.0	128.0	146.0	163.0	181.0	200.0	217.0	254.0	327.0	435.0	614.0	789.0	965.0	1139.0
242	76.0	80.0	87.0	98.0	117.0	136.0	154.0	172.0	192.0	209.0	247.0	320.0	429.0	612.0	792.0	971.0	1149.0
243	79.0	83.0	90.0	101.0	121.0	140.0	158.0	177.0	196.0	215.0	252.0	327.0	439.0	624.0	806.0	988.0	1168.0
244	93.0	96.0	104.0	116.0	135.0	155.0	174.0	192.0	212.0	231.0	269.0	345.0	460.0	648.0	834.0	1019.0	1201.0
245	89.0	93.0	101.0	112.0	130.0	149.0	166.0	184.0	202.0	221.0	258.0	330.0	439.0	618.0	798.0	974.0	1148.0
246	78.0	81.0	89.0	100.0	119.0	137.0	157.0	175.0	195.0	214.0	252.0	327.0	442.0	628.0	815.0	998.0	1181.0
247	78.0	83.0	90.0	101.0	119.0	137.0	155.0	172.0	192.0	209.0	246.0	318.0	426.0	604.0	783.0	959.0	1132.0
248	91.0	96.0	103.0	114.0	132.0	151.0	170.0	188.0	206.0	226.0	263.0	336.0	447.0	631.0	811.0	991.0	1168.0
249	89.0	93.0	101.0	111.0	130.0	149.0	167.0	184.0	202.0	221.0	257.0	328.0	438.0	615.0	794.0	968.0	1142.0
250	76.0	79.0	86.0	98.0	117.0	136.0	155.0	173.0	193.0	212.0	249.0	324.0	436.0	620.0	807.0	988.0	1167.0
251	83.0	88.0	94.0	107.0	125.0	144.0	162.0	182.0	201.0	219.0	257.0	331.0	443.0	626.0	810.0	991.0	1170.0
252	91.0	95.0	102.0	114.0	134.0	152.0	170.0	189.0	208.0	227.0	266.0	340.0	452.0	638.0	821.0	1002.0	1182.0
253	88.0	91.0	99.0	110.0	129.0	147.0	164.0	183.0	201.0	220.0	257.0	331.0	440.0	623.0	804.0	982.0	1158.0
254	81.0	84.0	92.0	104.0	125.0	145.0	165.0	185.0	205.0	226.0	267.0	347.0	468.0	666.0	862.0	1057.0	1251.0
255	79.0	83.0	91.0	102.0	121.0	141.0	160.0	177.0	197.0	217.0	254.0	330.0	443.0	630.0	816.0	999.0	1180.0
256	93.0	97.0	104.0	117.0	137.0	157.0	177.0	197.0	219.0	238.0	279.0	360.0	479.0	678.0	873.0	1069.0	1261.0
257	86.0	90.0	97.0	107.0	124.0	143.0	159.0	178.0	195.0	213.0	249.0	319.0	423.0	596.0	770.0	939.0	1109.0
258	79.0	83.0	91.0	100.0	120.0	138.0	158.0	176.0	195.0	213.0	251.0	324.0	436.0	619.0	800.0	981.0	1159.0
259	82.0	84.0	93.0	105.0	123.0	142.0	161.0	180.0	198.0	218.0	255.0	329.0	442.0	628.0	810.0	993.0	1173.0
260	90.0	94.0	101.0	112.0	131.0	149.0	165.0	183.0	202.0	220.0	255.0	328.0	434.0	611.0	787.0	960.0	1133.0
261	88.0	92.0	99.0	111.0	130.0	149.0	168.0	187.0	206.0	225.0	261.0	338.0	450.0	636.0	821.0	1004.0	1184.0
262	80.0	83.0	92.0	104.0	125.0	145.0	165.0	185.0	206.0	226.0	266.0	347.0	468.0	666.0	864.0	1060.0	1254.0
263	81.0	83.0	92.0	102.0	123.0	142.0	159.0	178.0	197.0	215.0	254.0	329.0	441.0	626.0	810.0	993.0	1172.0
264	93.0	97.0	105.0	118.0	137.0	156.0	176.0	196.0	215.0	236.0	274.0	353.0	470.0	663.0	853.0	1042.0	1231.0
265	88.0	93.0	100.0	112.0	130.0	149.0	168.0	186.0	205.0	225.0	262.0	337.0	448.0	633.0	818.0	998.0	1178.0
266	78.0	81.0	89.0	99.0	118.0	136.0	154.0	173.0	192.0	210.0	246.0	320.0	430.0	610.0	790.0	967.0	1143.0
267	85.0	88.0	96.0	108.0	130.0	149.0	168.0	189.0	211.0	230.0	270.0	350.0	470.0	669.0	865.0	1058.0	1252.0
268	95.0	98.0	105.0	117.0	137.0	157.0	177.0	195.0	215.0	235.0	275.0	352.0	469.0	660.0	850.0	1039.0	1226.0
269	92.0	97.0	103.0	115.0	135.0	154.0	174.0	193.0	213.0	232.0	271.0	348.0	462.0	654.0	842.0	1030.0	1214.0
270	78.0	82.0	90.0	102.0	121.0	141.0	160.0	180.0	200.0	219.0	258.0	335.0	450.0	641.0	831.0	1018.0	1202.0
271	80.0	84.0	92.0	103.0	122.0	141.0	160.0	180.0	198.0	217.0	256.0	330.0	444.0	633.0	818.0	1002.0	1185.0
272	94.0	97.0	105.0	116.0	137.0	156.0	175.0	193.0	214.0	233.0	273.0	350.0	465.0	657.0	847.0	1035.0	1223.0
273	87.0	91.0	99.0	110.0	128.0	146.0	164.0	182.0	201.0	220.0	256.0	329.0	438.0	616.0	794.0	973.0	1147.0
274	85.0	91.0	99.0	114.0	138.0	162.0	186.0	209.0	233.0	257.0	305.0	399.0	539.0	774.0	1004.0	1234.0	1460.0
275	82.0	86.0	93.0	105.0	124.0	145.0	162.0	182.0	202.0	220.0	258.0	335.0	448.0	636.0	823.0	1008.0	1190.0
276	91.0	94.0	101.0	114.0	133.0	152.0	171.0	189.0	209.0	228.0	266.0	341.0	456.0	642.0	828.0	1012.0	1195.0
277	86.0	89.0	96.0	107.0	125.0	143.0	161.0	179.0	198.0	216.0	252.0	324.0	432.0	610.0	787.0	963.0	1135.0
278	79.0	84.0	93.0	104.0	127.0	147.0	167.0	188.0	209.0	230.0	272.0	355.0	479.0	684.0	886.0	1087.0	1286.0
279	79.0	83.0	92.0	102.0	121.0	140.0	158.0	177.0	196.0	215.0	253.0	328.0	441.0	626.0	811.0	993.0	1173.0
280	93.0	97.0	105.0	117.0	135.0	157.0	176.0	195.0	214.0	234.0	273.0	350.0	466.0	659.0	849.0	1037.0	1224.0
281	91.0	94.0	103.0	115.0	134.0	153.0	172.0	190.0	211.0	230.0	267.0	344.0	458.0	646.0	833.0	1019.0	1202.0
282	78.0	82.0	89.0	102.0	122.0	141.0	161.0	182.0	200.0	221.0	259.0	340.0	456.0	649.0	844.0	1035.0	1221.0
283	81.0	84.0	92.0	103.0	122.0	141.0	161.0	181.0	199.0	219.0	256.0	333.0	448.0	637.0	824.0	1010.0	1193.0
284	93.0	96.0	103.0	115.0	133.0	153.0	171.0	190.0	209.0	227.0	264.0	338.0	450.0	633.0	815.0	994.0	1173.0
285	91.0	96.0	103.0	114.0	134.0	153.0	170.0	190.0	209.0	228.0	265.0	340.0	453.0	638.0	823.0	1006.0	1186.0
286	79.0	83.0	90.0	101.0	120.0	138.0	157.0	174.0	193.0	211.0	247.0	321.0	430.0	611.0	789.0	966.0	1142.0
287	82.0	85.0	93.0	105.0	125.0	145.0	165.0	185.0	206.0	224.0	264.0	343.0	460.0	656.0	849.0	1042.0	1231.0
288	92.0	96.0	103.0	114.0	133.0	151.0	170.0	189.0	208.0	227.0	265.0	339.0	451.0	635.0	819.0	998.0	1179.0
289	90.0	94.0	100.0	113.0	130.0	150.0	168.0	185.0	205.0	223.0	259.0	332.0	441.0	622.0	801.0	978.0	1154.0
290	81.0	84.0	92.0	102.0	122.0	142.0	161.0	180.0	201.0	220.0	258.0	334.0	449.0	639.0	827.0	1012.0	1197.0
291	85.0	89.0	97.0	109.0	129.0	149.0	169.0	188.0	209.0	229.0	268.0	349.0	467.0	663.0	858.0	1050.0	1239.0
292	93.0	96.0	104.0	115.0	135.0	153.0	169.0	189.0	208.0	225.0	262.0	335.0	444.0	624.0	803.0	980.0	1157.0
293	85.0	89.0	96.0	108.0	128.0	146.0	164.0	183.0	202.0	220.0	258.0	333.0	445.0	629.0	812.0	993.0	1173.0
294	79.0	83.0	89.0	101.0	120.0	138.0	156.0	173.0	192.0	210.0	246.0	318.0	427.0	605.0	782.0	957.0	1131.0
295	82.0	86.0	94.0	105.0	125.0	144.0	161.0	181.0	200.0	219.0	257.0	331.0	446.0	631.0	815.0	999.0	1180.0
296	93.0	96.0	104.0	116.0	134.0	154.0	172.0	190.0	209.0	228.0	266.0	341.0	454.0	638.0	822.0	1005.0	1184.0
297	88.0	92.0	98.0	109.0	129.0	148.0	166.0	184.0	203.0	222.0	259.0	333.0	444.0	628.0	810.0	990.0	1169.0
298	78.0	82.0	88.0	102.0	121.0	139.0	158.0	176.0	196.0	215.0	253.0	329.0	441.0	629.0	815.0	1000.0	1182.0
299	81.0	86.0	92.0	104.0	122.0	140.0	159.0	178.0	196.0	215.0	252.0	325.0	436.0	618.0	799.0	978.0	1155.0
300	93.0	97.0	105.0	116.0	135.0	154.0	173.0	192.0	211.0	230.0	268.0	343.0	455.0	642.0	826.0	1011.0	1192.0
301	92.0	95.0	103.0	114.0	134.0	152.0	171.0	188.0	207.0	225.0	263.0	336.0	446.0	629.0	807.0	987.0	1165.0
302	77.0	81.0	88.0	99.0	117.0	135.0	153.0	170.0	189.0	207.0	243.0	314.0	421.0	599.0	774.0	946.0	1119.0
303	80.0	83.0	91.0	102.0	121.0	140.0	159.0	178.0	198.0	216.0	255.0	330.0	444.0	631.0	817.0	1000.0	1182.0
304	94.0	97.0	105.0	116.0	135.0	155.0	174.0	192.0	211.0	230.0	269.0	343.0	455.0	642.0	827.0	1011.0	1193.0
305	90.0	94.0	101.0	113.0	132.0	151.0	169.0	188.0	207.0	225.0	263.0	338.0	448.0	633.0	817.0	999.0	1176.0
306	79.0	83.0	90.0	102.0	122.0	141.0	159.0	178.0	197.0	217.0	255.0	331.0	444.0	632.0	818.0	1002.0	1185.0
307	85.0	89.0	97.0	109.0	129.0	148.0	165.0	186.0	206.0	224.0	263.0	341.0	457.0	648.0	837.0	1024.0	1209.0
308	95.0	98.0	107.0	119.0	139.0	159.0	178.0	198.0	218.0	238.0	277.0	355.0	473.0	668.0	860.0	1051.0	1240.0
309	88.0	91.0	99.0	110.0	129.0	147.0	165.0	185.0	203.0	222.0	259.0	332.0	443.0	627.0	806.0	985.0	1165.0
310	78.0	80.0	88.0	99.0	118.0	137.0	155.0	174.0	193.0	212.0	249.0	324.0	435.0	618.0	802.0	983.0	1161.0
311	79.0	83.0	91.0	102.0	121.0	139.0	158.0	177.0	196.0	215.0	252.0	326.0	439.0	623.0	805.0	989.0	1168.0
312	93.0	98.0	106.0	119.0	138.0	158.0	178.0	199.0	218.0	240.0	280.0	360.0	481.0	678.0	875.0	1068.0	1263.0
313	91.0	95.0	103.0	115.0	136.0	155.0	175.0	195.0	215.0	236.0	276.0	355.0	474.0	671.0	866.0	1058.0	1249.0
314	80.0	82.0	90.0	102.0	121.0	139.0	157.0	176.0	195.0	214.0	251.0	325.0	437.0	620.0	802.0	981.0	1160.0
315	82.0	87.0	95.0	106.0	125.0	145.0	162.0	182.0	201.0	221.0	259.0	335.0	450.0	638.0	825.0	1012.0	1195.0
316	91.0	96.0	105.0	116.0	136.0	158.0	177.0	197.0	219.0	238.0	279.0	359.0	480.0	679.0	876.0	1071.0	1265.0
317	89.0	94.0	102.0	115.0	135.0	155.0	175.0	196.0	216.0	236.0	276.0	356.0	475.0	676.0	872.0	1066.0	1258.0
318	80.0	84.0	91.0	103.0	123.0	143.0	162.0	182.0	200.0	220.0	258.0	334.0	451.0	641.0	829.0	1018.0	1201.0
319	80.0	84.0	93.0	105.0	124.0	145.0	164.0	185.0	205.0	225.0	265.0	345.0	466.0	664.0	858.0	1052.0	1246.0
320	92.0	96.0	103.0	115.0	133.0	152.0	170.0	189.0	208.0	228.0	265.0	340.0	451.0	637.0	820.0	1002.0	1181.0
321	94.0	96.0	104.0	115.0	133.0	152.0	170.0	188.0	206.0	225.0	262.0	334.0	444.0	624.0	804.0	980.0	1156.0
322	81.0	84.0	93.0	105.0	124.0	144.0	164.0	185.0	205.0	225.0	264.0	343.0	463.0	659.0	854.0	1046.0	1236.0
323	81.0	86.0	94.0	105.0	124.0	143.0	162.0	181.0	199.0	218.0	255.0	329.0	442.0	626.0	809.0	990.0	1169.0
324	95.0	100.0	107.0	118.0	139.0	158.0	179.0	199.0	220.0	240.0	280.0	360.0	480.0	676.0	872.0	1066.0	1257.0
325	90.0	93.0	101.0	113.0	132.0	149.0	169.0	188.0	208.0	226.0	264.0	339.0	452.0	638.0	822.0	1006.0	1187.0
326	79.0	83.0	90.0	103.0	122.0	142.0	162.0	183.0	202.0	222.0	263.0	341.0	459.0	656.0	852.0	1043.0	1234.0
327	81.0	85.0	94.0	105.0	125.0	146.0	166.0	186.0	206.0	225.0	265.0	344.0	463.0	658.0	853.0	1046.0	1238.0
328	97.0	100.0	108.0	120.0	139.0	157.0	177.0	196.0	215.0	233.0	272.0	347.0	460.0	645.0	831.0	1013.0	1193.0
329	94.0	98.0	109.0	122.0	147.0	170.0	194.0	218.0	242.0	266.0	313.0	408.0	548.0	782.0	1012.0	1240.0	1465.0
330	81.0	84.0	92.0	103.0	124.0	142.0	162.0	181.0	201.0	219.0	259.0	336.0	451.0	643.0	832.0	1019.0	1204.0
331	81.0	85.0	93.0	103.0	122.0	142.0	160.0	179.0	199.0	218.0	255.0	331.0	443.0	631.0	816.0	999.0	1181.0
332	95.0	101.0	108.0	121.0	141.0	161.0	181.0	202.0	223.0	243.0	284.0	365.0	488.0	688.0	888.0	1085.0	1281.0
333	90.0	94.0	101.0	114.0	133.0	152.0	171.0	191.0	211.0	230.0	268.0	346.0	461.0	652.0	841.0	1028.0	1214.0
334	82.0	86.0	93.0	106.0	126.0	146.0	165.0	185.0	206.0	225.0	265.0	345.0	463.0	658.0	852.0	1045.0	1236.0
335	81.0	84.0	91.0	102.0	121.0	140.0	159.0	178.0	197.0	216.0	252.0	327.0	440.0	622.0	807.0	987.0	1167.0
336	93.0	96.0	104.0	115.0	135.0	153.0	172.0	191.0	208.0	227.0	264.0	337.0	449.0	631.0	813.0	993.0	1173.0
337	91.0	94.0	103.0	115.0	134.0	152.0	171.0	191.0	209.0	228.0	266.0	342.0	455.0	646.0	834.0	1016.0	1199.0
338	81.0	85.0	93.0	105.0	125.0	145.0	164.0	184.0	205.0	224.0	263.0	344.0	462.0	656.0	851.0	1043.0	1232.0
339	77.0	81.0	88.0	99.0	116.0	134.0	153.0	169.0	188.0	205.0	240.0	311.0	417.0	590.0	763.0	934.0	1103.0
340	94.0	97.0	104.0	115.0	134.0	152.0	169.0	187.0	206.0	224.0	260.0	333.0	439.0	618.0	796.0	971.0	1145.0
341	92.0	96.0	104.0	116.0	136.0	156.0	175.0	194.0	215.0	235.0	275.0	352.0	470.0	663.0	857.0	1046.0	1234.0
342	79.0	82.0	90.0	101.0	119.0	137.0	156.0	174.0	192.0	211.0	247.0	320.0	429.0	609.0	788.0	964.0	1139.0
343	81.0	86.0	93.0	105.0	124.0	142.0	161.0	180.0	199.0	219.0	255.0	331.0	442.0	627.0	809.0	989.0	1169.0
344	93.0	99.0	106.0	117.0	135.0	155.0	173.0	191.0	211.0	229.0	267.0	342.0	451.0	634.0	818.0	997.0	1179.0
345	92.0	97.0	104.0	116.0	135.0	155.0	173.0	193.0	212.0	231.0	271.0	346.0	461.0	651.0	838.0	1023.0	1207.0
346	80.0	84.0	92.0	104.0	124.0	143.0	163.0	182.0	202.0	222.0	259.0	338.0	455.0	645.0	835.0	1024.0	1210.0
347	80.0	84.0	91.0	102.0	121.0	139.0	157.0	177.0	195.0	215.0	252.0	325.0	437.0	620.0	802.0	983.0	1162.0
348	94.0	98.0	105.0	116.0	135.0	154.0	172.0	191.0	209.0	229.0	265.0	338.0	449.0	631.0	813.0	992.0	1169.0
