/*Tiempo de exposicion:	0.24	0.3	0.42	0.6	0.9	1.2	1.5	1.8	2.1	2.4	3	4.2	6	9	12	15	18
/*Numero de Scans	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000
/*Archivo:	barridoP_0050.OMAIII	barridoP_0051.OMAIII	barridoP_0052.OMAIII	barridoP_0053.OMAIII	barridoP_0054.OMAIII	barridoP_0055.OMAIII	barridoP_0056.OMAIII	barridoP_0057.OMAIII	barridoP_0058.OMAIII	barridoP_0059.OMAIII	barridoP_0060.OMAIII	barridoP_0061.OMAIII	barridoP_0062.OMAIII	barridoP_0063.OMAIII	barridoP_0064.OMAIII	barridoP_0065.OMAIII	barridoP_0066.OMAIII
37	94.0	97.0	105.0	116.0	136.0	155.0	174.0	193.0	212.0	232.0	270.0	345.0	459.0	646.0	830.0	1015.0	1196.0
38	74.0	77.0	84.0	95.0	114.0	132.0	151.0	169.0	186.0	205.0	240.0	314.0	421.0	600.0	778.0	952.0	1127.0
39	84.0	87.0	95.0	107.0	125.0	143.0	162.0	180.0	199.0	217.0	255.0	328.0	438.0	620.0	803.0	982.0	1161.0
40	92.0	95.0	103.0	114.0	132.0	151.0	169.0	186.0	204.0	223.0	259.0	332.0	439.0	619.0	796.0	972.0	1146.0
41	86.0	90.0	98.0	110.0	129.0	147.0	166.0	185.0	204.0	222.0	261.0	336.0	449.0	636.0	821.0	1004.0	1185.0
42	75.0	79.0	86.0	97.0	115.0	134.0	152.0	170.0	188.0	207.0	243.0	317.0	426.0	605.0	785.0	961.0	1136.0
43	78.0	82.0	89.0	99.0	118.0	137.0	153.0	172.0	190.0	208.0	243.0	315.0	422.0	598.0	773.0	948.0	1122.0
44	91.0	94.0	100.0	112.0	129.0	148.0	165.0	184.0	202.0	220.0	255.0	326.0	432.0	609.0	783.0	957.0	1128.0
45	87.0	90.0	98.0	109.0	129.0	147.0	168.0	185.0	204.0	223.0	260.0	336.0	449.0	635.0	820.0	1002.0	1183.0
46	77.0	81.0	88.0	99.0	118.0	136.0	155.0	173.0	192.0	210.0	248.0	321.0	432.0	614.0	794.0	974.0	1152.0
47	79.0	84.0	90.0	101.0	121.0	141.0	159.0	178.0	198.0	216.0	255.0	331.0	443.0	630.0	816.0	1000.0	1182.0
48	92.0	96.0	102.0	113.0	131.0	149.0	166.0	184.0	201.0	219.0	256.0	326.0	431.0	607.0	780.0	954.0	1124.0
49	87.0	91.0	99.0	111.0	129.0	148.0	168.0	186.0	207.0	225.0	264.0	340.0	454.0	642.0	829.0	1013.0	1195.0
50	76.0	79.0	86.0	98.0	117.0	137.0	158.0	177.0	196.0	215.0	254.0	330.0	446.0	636.0	827.0	1014.0	1199.0
51	83.0	87.0	96.0	110.0	134.0	158.0	181.0	205.0	228.0	252.0	299.0	393.0	532.0	761.0	990.0	1216.0	1438.0
52	90.0	95.0	101.0	113.0	133.0	151.0	170.0	188.0	207.0	226.0	264.0	339.0	451.0	637.0	822.0	1004.0	1183.0
53	89.0	92.0	99.0	111.0	129.0	148.0	166.0	183.0	202.0	221.0	257.0	330.0	438.0	617.0	794.0	971.0	1144.0
54	76.0	80.0	88.0	100.0	119.0	138.0	158.0	177.0	197.0	216.0	255.0	334.0	449.0	640.0	829.0	1016.0	1202.0
55	80.0	84.0	91.0	103.0	121.0	140.0	160.0	179.0	198.0	218.0	254.0	331.0	443.0	631.0	813.0	999.0	1180.0
56	90.0	95.0	102.0	113.0	132.0	151.0	169.0	186.0	206.0	224.0	261.0	333.0	443.0	625.0	804.0	981.0	1158.0
57	84.0	89.0	95.0	106.0	124.0	143.0	161.0	178.0	196.0	214.0	251.0	322.0	430.0	605.0	781.0	955.0	1127.0
58	76.0	80.0	86.0	97.0	116.0	133.0	152.0	171.0	188.0	206.0	242.0	315.0	425.0	604.0	783.0	960.0	1134.0
59	78.0	82.0	89.0	101.0	120.0	138.0	157.0	176.0	194.0	214.0	251.0	327.0	438.0	624.0	806.0	990.0	1169.0
60	95.0	98.0	106.0	117.0	139.0	159.0	179.0	201.0	221.0	241.0	282.0	362.0	482.0	683.0	883.0	1078.0	1273.0
61	87.0	91.0	97.0	110.0	128.0	147.0	166.0	185.0	203.0	223.0	260.0	335.0	445.0	630.0	813.0	995.0	1173.0
62	74.0	79.0	85.0	96.0	115.0	133.0	152.0	170.0	188.0	206.0	243.0	316.0	424.0	604.0	783.0	960.0	1135.0
63	81.0	84.0	92.0	104.0	123.0	140.0	159.0	178.0	197.0	215.0	253.0	327.0	439.0	622.0	804.0	985.0	1162.0
64	96.0	100.0	107.0	119.0	138.0	157.0	176.0	195.0	213.0	232.0	270.0	346.0	457.0	643.0	828.0	1011.0	1191.0
65	88.0	91.0	98.0	110.0	127.0	146.0	165.0	182.0	201.0	219.0	256.0	329.0	438.0	618.0	797.0	977.0	1152.0
66	75.0	79.0	85.0	96.0	115.0	134.0	151.0	169.0	187.0	206.0	243.0	314.0	424.0	603.0	781.0	956.0	1131.0
67	78.0	82.0	89.0	100.0	118.0	136.0	156.0	173.0	191.0	209.0	246.0	318.0	426.0	606.0	783.0	959.0	1133.0
68	92.0	96.0	103.0	113.0	131.0	150.0	168.0	186.0	205.0	224.0	259.0	332.0	441.0	621.0	799.0	977.0	1151.0
69	85.0	89.0	96.0	106.0	126.0	145.0	163.0	181.0	199.0	218.0	253.0	328.0	437.0	618.0	798.0	976.0	1152.0
70	75.0	77.0	86.0	96.0	115.0	133.0	152.0	170.0	188.0	208.0	245.0	318.0	428.0	608.0	789.0	968.0	1145.0
71	79.0	82.0	90.0	101.0	120.0	139.0	157.0	176.0	194.0	213.0	250.0	324.0	435.0	616.0	799.0	978.0	1157.0
72	92.0	96.0	102.0	114.0	132.0	150.0	169.0	187.0	206.0	224.0	260.0	334.0	443.0	623.0	804.0	980.0	1155.0
73	85.0	89.0	96.0	107.0	126.0	145.0	163.0	181.0	200.0	219.0	256.0	329.0	440.0	622.0	803.0	982.0	1160.0
74	77.0	82.0	89.0	100.0	119.0	138.0	157.0	176.0	195.0	212.0	250.0	326.0	437.0	622.0	804.0	988.0	1167.0
75	82.0	85.0	92.0	103.0	121.0	141.0	159.0	178.0	195.0	214.0	253.0	327.0	436.0	620.0	801.0	979.0	1158.0
