/*Tiempo de exposicion:	18	12	12	9	9
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0066.OMAIII	barridoP_0064.OMAIII	barridoP_0064.OMAIII	barridoP_0063.OMAIII	barridoP_0063.OMAIII
1	60.0	60.0	60.0	61.0	61.0
2	914.0	542.0	542.0	353.0	353.0
3	1063.0	712.0	712.0	534.0	534.0
4	1189.0	828.0	828.0	643.0	643.0
5	1187.0	823.0	823.0	639.0	639.0
6	1131.0	781.0	781.0	603.0	603.0
7	1164.0	803.0	803.0	620.0	620.0
8	1156.0	802.0	802.0	622.0	622.0
9	1204.0	835.0	835.0	648.0	648.0
10	1148.0	792.0	792.0	609.0	609.0
11	1155.0	797.0	797.0	616.0	616.0
12	1182.0	824.0	824.0	641.0	641.0
13	1132.0	785.0	785.0	609.0	609.0
14	1133.0	779.0	779.0	599.0	599.0
15	1188.0	821.0	821.0	634.0	634.0
16	1205.0	837.0	837.0	650.0	650.0
17	1276.0	884.0	884.0	684.0	684.0
18	1128.0	778.0	778.0	600.0	600.0
19	1532.0	1052.0	1052.0	808.0	808.0
20	1140.0	792.0	792.0	615.0	615.0
21	1235.0	854.0	854.0	661.0	661.0
22	1186.0	821.0	821.0	635.0	635.0
23	1128.0	780.0	780.0	604.0	604.0
24	1171.0	813.0	813.0	631.0	631.0
25	1305.0	901.0	901.0	697.0	697.0
26	1358.0	935.0	935.0	718.0	718.0
27	1248.0	860.0	860.0	663.0	663.0
28	1168.0	812.0	812.0	630.0	630.0
29	1380.0	950.0	950.0	734.0	734.0
30	1244.0	857.0	857.0	661.0	661.0
31	1170.0	806.0	806.0	622.0	622.0
32	1181.0	820.0	820.0	637.0	637.0
33	1131.0	783.0	783.0	607.0	607.0
34	1166.0	803.0	803.0	619.0	619.0
35	1130.0	778.0	778.0	599.0	599.0
36	1180.0	820.0	820.0	638.0	638.0
37	1196.0	830.0	830.0	646.0	646.0
38	1127.0	778.0	778.0	600.0	600.0
39	1161.0	803.0	803.0	620.0	620.0
40	1146.0	796.0	796.0	619.0	619.0
41	1185.0	821.0	821.0	636.0	636.0
42	1136.0	785.0	785.0	605.0	605.0
43	1122.0	773.0	773.0	598.0	598.0
44	1128.0	783.0	783.0	609.0	609.0
45	1183.0	820.0	820.0	635.0	635.0
46	1152.0	794.0	794.0	614.0	614.0
47	1182.0	816.0	816.0	630.0	630.0
48	1124.0	780.0	780.0	607.0	607.0
49	1195.0	829.0	829.0	642.0	642.0
50	1199.0	827.0	827.0	636.0	636.0
51	1438.0	990.0	990.0	761.0	761.0
52	1183.0	822.0	822.0	637.0	637.0
53	1144.0	794.0	794.0	617.0	617.0
54	1202.0	829.0	829.0	640.0	640.0
55	1180.0	813.0	813.0	631.0	631.0
56	1158.0	804.0	804.0	625.0	625.0
57	1127.0	781.0	781.0	605.0	605.0
58	1134.0	783.0	783.0	604.0	604.0
59	1169.0	806.0	806.0	624.0	624.0
60	1273.0	883.0	883.0	683.0	683.0
61	1173.0	813.0	813.0	630.0	630.0
62	1135.0	783.0	783.0	604.0	604.0
63	1162.0	804.0	804.0	622.0	622.0
64	1191.0	828.0	828.0	643.0	643.0
65	1152.0	797.0	797.0	618.0	618.0
66	1131.0	781.0	781.0	603.0	603.0
67	1133.0	783.0	783.0	606.0	606.0
68	1151.0	799.0	799.0	621.0	621.0
69	1152.0	798.0	798.0	618.0	618.0
70	1145.0	789.0	789.0	608.0	608.0
71	1157.0	799.0	799.0	616.0	616.0
72	1155.0	804.0	804.0	623.0	623.0
73	1160.0	803.0	803.0	622.0	622.0
74	1167.0	804.0	804.0	622.0	622.0
75	1158.0	801.0	801.0	620.0	620.0
76	1161.0	805.0	805.0	624.0	624.0
77	1128.0	783.0	783.0	607.0	607.0
78	1183.0	817.0	817.0	632.0	632.0
79	1164.0	804.0	804.0	621.0	621.0
80	1156.0	802.0	802.0	623.0	623.0
81	1145.0	794.0	794.0	615.0	615.0
82	1170.0	806.0	806.0	621.0	621.0
83	1185.0	820.0	820.0	634.0	634.0
84	1187.0	824.0	824.0	642.0	642.0
85	1156.0	800.0	800.0	619.0	619.0
86	1134.0	785.0	785.0	608.0	608.0
87	1216.0	841.0	841.0	650.0	650.0
88	1153.0	799.0	799.0	619.0	619.0
89	1181.0	818.0	818.0	633.0	633.0
90	1141.0	791.0	791.0	612.0	612.0
91	1129.0	780.0	780.0	604.0	604.0
92	1185.0	821.0	821.0	635.0	635.0
93	1164.0	807.0	807.0	626.0	626.0
94	1234.0	849.0	849.0	654.0	654.0
95	1199.0	829.0	829.0	640.0	640.0
96	1155.0	803.0	803.0	624.0	624.0
97	1205.0	835.0	835.0	647.0	647.0
98	1131.0	785.0	785.0	606.0	606.0
99	1191.0	822.0	822.0	635.0	635.0
100	1273.0	882.0	882.0	683.0	683.0
101	1153.0	799.0	799.0	618.0	618.0
