/* Tiempo de exposicion:	15	12	9	9	6
/* Numero de Scans	1	1	1	1	1
/* Scans Ignorados	0	0	0	0	0
/* Modo de Adquiquisicion	1 	1 	1 	1 	1 
/* Temperatura del detector	0 	0 	0 	0 	0 
/*Red	2	2	2	2	2
/*Posicion del Contador	485	485	485	485	485
/*Archivo:	barridoP_0001.OMAIII	barridoP_0011.OMAIII	barridoP_0021.OMAIII	barridoP_0031.OMAIII	barridoP_0041.OMAIII
1	61.0	60.0	60.0	60.0	60.0
2	888.0	577.0	629.0	604.0	434.0
3	1076.0	764.0	792.0	763.0	597.0
4	1194.0	907.0	883.0	794.0	678.0
5	1184.0	952.0	833.0	702.0	581.0
6	1082.0	985.0	695.0	645.0	473.0
7	1037.0	1045.0	657.0	677.0	468.0
8	1012.0	1066.0	658.0	711.0	483.0
9	1061.0	1143.0	694.0	792.0	519.0
10	1036.0	1067.0	681.0	841.0	521.0
11	1086.0	1053.0	728.0	988.0	580.0
12	1175.0	952.0	815.0	1101.0	692.0
13	1240.0	833.0	885.0	1092.0	751.0
14	1319.0	825.0	911.0	1186.0	737.0
15	1371.0	897.0	977.0	1144.0	851.0
16	1468.0	960.0	1051.0	1125.0	833.0
17	1464.0	1081.0	1031.0	946.0	829.0
18	1319.0	1090.0	909.0	695.0	634.0
19	1504.0	1529.0	951.0	888.0	639.0
20	1039.0	1277.0	670.0	730.0	492.0
21	1100.0	1438.0	719.0	837.0	541.0
22	1083.0	1406.0	724.0	908.0	565.0
23	1072.0	1299.0	745.0	1023.0	616.0
24	1178.0	1228.0	863.0	1163.0	753.0
25	1385.0	1071.0	1061.0	1209.0	968.0
26	1522.0	1009.0	1263.0	1413.0	1054.0
27	1401.0	951.0	1204.0	1303.0	1056.0
28	1456.0	944.0	1281.0	1225.0	1137.0
29	1606.0	1150.0	1375.0	1170.0	1102.0
30	1458.0	1155.0	1226.0	847.0	987.0
31	1313.0	1256.0	1065.0	745.0	723.0
32	1145.0	1290.0	826.0	798.0	559.0
33	1045.0	1292.0	695.0	854.0	523.0
34	1099.0	1425.0	722.0	994.0	562.0
35	1121.0	1306.0	746.0	1168.0	612.0
36	1254.0	1321.0	852.0	1344.0	734.0
37	1396.0	1132.0	960.0	1318.0	874.0
38	1459.0	907.0	1064.0	1493.0	935.0
39	1447.0	923.0	1103.0	1495.0	932.0
40	1575.0	965.0	1138.0	1402.0	1073.0
41	1619.0	1073.0	1258.0	1256.0	1042.0
42	1511.0	1160.0	1138.0	894.0	964.0
43	1413.0	1334.0	1096.0	762.0	827.0
44	1179.0	1370.0	909.0	810.0	617.0
45	1114.0	1438.0	766.0	922.0	563.0
46	1106.0	1578.0	735.0	1033.0	579.0
47	1182.0	1504.0	797.0	1228.0	658.0
48	1223.0	1423.0	856.0	1195.0	751.0
49	1408.0	1256.0	1004.0	1301.0	930.0
50	1413.0	1004.0	1177.0	1472.0	1038.0
51	1630.0	1127.0	1328.0	1487.0	1095.0
52	1557.0	1006.0	1240.0	1322.0	1184.0
53	1463.0	1065.0	1377.0	1129.0	1171.0
54	1482.0	1221.0	1310.0	883.0	1099.0
55	1370.0	1329.0	1247.0	831.0	968.0
56	1164.0	1276.0	1039.0	905.0	698.0
57	1095.0	1383.0	784.0	1026.0	566.0
58	1145.0	1454.0	741.0	1224.0	591.0
59	1268.0	1380.0	805.0	1309.0	671.0
60	1493.0	1423.0	944.0	1364.0	822.0
61	1482.0	1157.0	1011.0	1560.0	929.0
62	1413.0	953.0	1101.0	1538.0	914.0
63	1602.0	987.0	1082.0	1440.0	970.0
64	1666.0	1091.0	1222.0	1372.0	1145.0
65	1545.0	1192.0	1274.0	1022.0	1049.0
66	1491.0	1345.0	1164.0	822.0	990.0
67	1274.0	1328.0	1134.0	879.0	868.0
68	1128.0	1411.0	960.0	1021.0	657.0
69	1150.0	1616.0	785.0	1193.0	599.0
70	1225.0	1520.0	783.0	1181.0	647.0
71	1355.0	1476.0	870.0	1230.0	761.0
72	1376.0	1353.0	1001.0	1485.0	927.0
73	1374.0	1064.0	1166.0	1475.0	1003.0
74	1547.0	990.0	1154.0	1394.0	983.0
75	1564.0	1053.0	1213.0	1380.0	1180.0
76	1503.0	1173.0	1416.0	1159.0	1228.0
77	1495.0	1284.0	1325.0	948.0	1114.0
78	1409.0	1272.0	1294.0	994.0	1064.0
79	1239.0	1355.0	1159.0	1143.0	805.0
80	1224.0	1543.0	883.0	1292.0	628.0
81	1320.0	1453.0	793.0	1220.0	650.0
82	1462.0	1447.0	863.0	1398.0	750.0
83	1424.0	1424.0	990.0	1668.0	903.0
84	1511.0	1212.0	1122.0	1555.0	934.0
85	1683.0	1073.0	1062.0	1460.0	927.0
86	1609.0	1118.0	1140.0	1362.0	1113.0
87	1621.0	1331.0	1368.0	1056.0	1177.0
88	1537.0	1347.0	1268.0	938.0	1076.0
89	1315.0	1330.0	1253.0	1078.0	1077.0
90	1178.0	1502.0	1195.0	1184.0	902.0
91	1245.0	1633.0	979.0	1109.0	715.0
92	1394.0	1547.0	900.0	1265.0	732.0
93	1331.0	1511.0	943.0	1520.0	844.0
94	1442.0	1421.0	1119.0	1498.0	996.0
95	1600.0	1111.0	1169.0	1398.0	946.0
96	1562.0	1085.0	1120.0	1377.0	1040.0
97	1532.0	1244.0	1327.0	1184.0	1282.0
98	1495.0	1255.0	1443.0	987.0	1200.0
99	1413.0	1245.0	1348.0	1141.0	1140.0
100	1335.0	1455.0	1360.0	1289.0	1127.0
101	1316.0	1561.0	1180.0	1166.0	814.0
102	1510.0	1530.0	953.0	1408.0	727.0
103	1342.0	1411.0	883.0	1653.0	775.0
104	1460.0	1420.0	1019.0	1604.0	911.0
105	1684.0	1176.0	1074.0	1496.0	864.0
106	1652.0	1102.0	1009.0	1477.0	917.0
107	1626.0	1293.0	1188.0	1269.0	1160.0
108	1576.0	1277.0	1348.0	1064.0	1152.0
109	1454.0	1267.0	1259.0	1179.0	1064.0
110	1236.0	1435.0	1187.0	1089.0	1033.0
111	1358.0	1693.0	1211.0	1195.0	916.0
112	1348.0	1593.0	1008.0	1454.0	752.0
113	1379.0	1546.0	948.0	1593.0	833.0
114	1510.0	1527.0	1058.0	1431.0	927.0
115	1619.0	1235.0	1080.0	1387.0	867.0
116	1529.0	1198.0	1071.0	1436.0	1000.0
117	1531.0	1291.0	1278.0	1203.0	1269.0
118	1526.0	1186.0	1460.0	1169.0	1245.0
119	1403.0	1302.0	1361.0	1110.0	1142.0
120	1598.0	1704.0	1445.0	1320.0	1236.0
121	1335.0	1553.0	1326.0	1478.0	1017.0
122	1321.0	1432.0	1050.0	1705.0	792.0
123	1548.0	1470.0	1011.0	1578.0	894.0
124	1734.0	1422.0	1061.0	1488.0	853.0
125	1675.0	1266.0	1030.0	1589.0	903.0
126	1574.0	1258.0	1093.0	1326.0	1057.0
127	1711.0	1248.0	1357.0	1162.0	1255.0
128	1525.0	1323.0	1364.0	1051.0	1122.0
129	1342.0	1588.0	1257.0	1201.0	1077.0
130	1239.0	1692.0	1239.0	1480.0	1099.0
131	1385.0	1613.0	1270.0	1620.0	947.0
132	1543.0	1549.0	1063.0	1470.0	897.0
133	1654.0	1591.0	1080.0	1453.0	861.0
134	1539.0	1327.0	994.0	1564.0	859.0
135	1523.0	1174.0	1094.0	1325.0	1070.0
136	1648.0	1163.0	1364.0	1082.0	1331.0
137	1651.0	1424.0	1577.0	1240.0	1294.0
138	1363.0	1626.0	1406.0	1476.0	1179.0
139	1321.0	1565.0	1331.0	1738.0	1203.0
140	1545.0	1518.0	1412.0	1646.0	1099.0
141	1864.0	1599.0	1223.0	1604.0	924.0
142	2079.0	1900.0	1221.0	1875.0	935.0
143	1595.0	1302.0	944.0	1473.0	859.0
144	1757.0	1229.0	1158.0	1126.0	1129.0
145	1685.0	1314.0	1379.0	1155.0	1267.0
146	1295.0	1549.0	1361.0	1380.0	1128.0
147	1307.0	1747.0	1292.0	1639.0	1109.0
148	1449.0	1601.0	1297.0	1532.0	1208.0
149	1678.0	1576.0	1395.0	1502.0	1087.0
150	1661.0	1735.0	1171.0	1623.0	845.0
151	1566.0	1416.0	964.0	1424.0	833.0
152	1679.0	1183.0	1097.0	1178.0	1059.0
153	1611.0	1270.0	1340.0	1292.0	1324.0
154	1524.0	1633.0	1622.0	1701.0	1338.0
155	1381.0	1622.0	1395.0	1707.0	1186.0
156	1614.0	1535.0	1354.0	1631.0	1232.0
157	1795.0	1557.0	1488.0	1599.0	1238.0
158	1668.0	1608.0	1238.0	1507.0	837.0
159	1688.0	1426.0	985.0	1342.0	832.0
160	1617.0	1227.0	1039.0	1242.0	1001.0
161	1494.0	1392.0	1263.0	1471.0	1234.0
162	1383.0	1664.0	1411.0	1619.0	1187.0
163	1532.0	1702.0	1343.0	1598.0	1148.0
164	1715.0	1671.0	1342.0	1525.0	1217.0
165	1738.0	1663.0	1463.0	1495.0	1195.0
166	1667.0	1585.0	1262.0	1459.0	916.0
167	1567.0	1360.0	1051.0	1428.0	926.0
168	1585.0	1368.0	1195.0	1649.0	1177.0
169	1523.0	1558.0	1440.0	1719.0	1333.0
170	1726.0	1696.0	1533.0	1704.0	1293.0
171	1796.0	1641.0	1449.0	1447.0	1231.0
172	1754.0	1520.0	1400.0	1507.0	1198.0
173	1584.0	1511.0	1347.0	1511.0	1063.0
174	1589.0	1470.0	1165.0	1588.0	939.0
175	1605.0	1493.0	1135.0	1654.0	1074.0
176	1705.0	1739.0	1374.0	1642.0	1280.0
177	1700.0	1723.0	1426.0	1395.0	1231.0
178	1648.0	1609.0	1377.0	1377.0	1163.0
179	1583.0	1501.0	1332.0	1540.0	1113.0
180	1503.0	1550.0	1288.0	1656.0	1101.0
181	1592.0	1535.0	1259.0	1701.0	1070.0
182	1837.0	1747.0	1359.0	1633.0	1247.0
183	1785.0	1677.0	1455.0	1433.0	1323.0
184	1724.0	1656.0	1552.0	1517.0	1330.0
185	1563.0	1422.0	1442.0	1616.0	1130.0
186	1567.0	1493.0	1273.0	1708.0	1119.0
187	1684.0	1571.0	1332.0	1596.0	1146.0
188	1727.0	1705.0	1327.0	1478.0	1192.0
189	1710.0	1701.0	1414.0	1432.0	1274.0
190	1567.0	1540.0	1431.0	1593.0	1231.0
