/*Tiempo de exposicion:	15	12	9	9	6
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0065.OMAIII	barridoP_0064.OMAIII	barridoP_0063.OMAIII	barridoP_0063.OMAIII	barridoP_0062.OMAIII
1	60.0	60.0	61.0	61.0	60.0
2	727.0	542.0	353.0	353.0	163.0
3	888.0	712.0	534.0	534.0	355.0
4	1009.0	828.0	643.0	643.0	460.0
5	1006.0	823.0	639.0	639.0	452.0
6	956.0	781.0	603.0	603.0	424.0
7	984.0	803.0	620.0	620.0	435.0
8	981.0	802.0	622.0	622.0	441.0
9	1021.0	835.0	648.0	648.0	459.0
10	970.0	792.0	609.0	609.0	427.0
11	976.0	797.0	616.0	616.0	432.0
12	1003.0	824.0	641.0	641.0	459.0
13	960.0	785.0	609.0	609.0	430.0
14	957.0	779.0	599.0	599.0	420.0
15	1007.0	821.0	634.0	634.0	445.0
16	1024.0	837.0	650.0	650.0	461.0
17	1080.0	884.0	684.0	684.0	482.0
18	954.0	778.0	600.0	600.0	420.0
19	1294.0	1052.0	808.0	808.0	562.0
20	966.0	792.0	615.0	615.0	436.0
21	1045.0	854.0	661.0	661.0	466.0
22	1005.0	821.0	635.0	635.0	448.0
23	954.0	780.0	604.0	604.0	424.0
24	994.0	813.0	631.0	631.0	450.0
25	1106.0	901.0	697.0	697.0	489.0
26	1148.0	935.0	718.0	718.0	500.0
27	1055.0	860.0	663.0	663.0	465.0
28	992.0	812.0	630.0	630.0	447.0
29	1165.0	950.0	734.0	734.0	515.0
30	1050.0	857.0	661.0	661.0	462.0
31	989.0	806.0	622.0	622.0	437.0
32	1002.0	820.0	637.0	637.0	451.0
33	956.0	783.0	607.0	607.0	430.0
34	985.0	803.0	619.0	619.0	433.0
35	955.0	778.0	599.0	599.0	420.0
36	1001.0	820.0	638.0	638.0	453.0
37	1015.0	830.0	646.0	646.0	459.0
38	952.0	778.0	600.0	600.0	421.0
39	982.0	803.0	620.0	620.0	438.0
40	972.0	796.0	619.0	619.0	439.0
41	1004.0	821.0	636.0	636.0	449.0
42	961.0	785.0	605.0	605.0	426.0
43	948.0	773.0	598.0	598.0	422.0
44	957.0	783.0	609.0	609.0	432.0
45	1002.0	820.0	635.0	635.0	449.0
46	974.0	794.0	614.0	614.0	432.0
47	1000.0	816.0	630.0	630.0	443.0
48	954.0	780.0	607.0	607.0	431.0
49	1013.0	829.0	642.0	642.0	454.0
50	1014.0	827.0	636.0	636.0	446.0
51	1216.0	990.0	761.0	761.0	532.0
52	1004.0	822.0	637.0	637.0	451.0
53	971.0	794.0	617.0	617.0	438.0
54	1016.0	829.0	640.0	640.0	449.0
55	999.0	813.0	631.0	631.0	443.0
56	981.0	804.0	625.0	625.0	443.0
57	955.0	781.0	605.0	605.0	430.0
58	960.0	783.0	604.0	604.0	425.0
59	990.0	806.0	624.0	624.0	438.0
60	1078.0	883.0	683.0	683.0	482.0
61	995.0	813.0	630.0	630.0	445.0
62	960.0	783.0	604.0	604.0	424.0
63	985.0	804.0	622.0	622.0	439.0
64	1011.0	828.0	643.0	643.0	457.0
