/*Tiempo de exposicion:	3	2.4	1.8	1.8	1.2
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0060.OMAIII	barridoP_0059.OMAIII	barridoP_0057.OMAIII	barridoP_0057.OMAIII	barridoP_0055.OMAIII
135	250.0	214.0	179.0	179.0	143.0
136	257.0	221.0	185.0	185.0	149.0
137	282.0	240.0	199.0	199.0	157.0
138	256.0	217.0	178.0	178.0	138.0
139	248.0	211.0	175.0	175.0	139.0
140	268.0	230.0	192.0	192.0	156.0
141	274.0	235.0	193.0	193.0	153.0
142	326.0	273.0	220.0	220.0	167.0
143	240.0	205.0	169.0	169.0	133.0
144	271.0	231.0	193.0	193.0	154.0
145	261.0	223.0	185.0	185.0	148.0
146	242.0	206.0	170.0	170.0	135.0
147	249.0	213.0	177.0	177.0	140.0
148	256.0	221.0	185.0	185.0	150.0
149	253.0	215.0	181.0	181.0	145.0
150	256.0	217.0	179.0	179.0	140.0
151	244.0	209.0	172.0	172.0	137.0
152	262.0	224.0	187.0	187.0	150.0
153	257.0	220.0	183.0	183.0	147.0
154	280.0	237.0	194.0	194.0	150.0
155	244.0	210.0	175.0	175.0	140.0
156	252.0	216.0	182.0	182.0	148.0
157	257.0	220.0	182.0	182.0	145.0
158	237.0	202.0	166.0	166.0	132.0
159	250.0	214.0	178.0	178.0	139.0
160	253.0	219.0	184.0	184.0	148.0
161	251.0	216.0	180.0	180.0	144.0
162	242.0	206.0	170.0	170.0	135.0
163	247.0	210.0	174.0	174.0	139.0
164	263.0	227.0	190.0	190.0	152.0
165	268.0	229.0	190.0	190.0	151.0
166	255.0	217.0	178.0	178.0	141.0
167	248.0	211.0	174.0	174.0	139.0
168	264.0	225.0	189.0	189.0	152.0
169	253.0	218.0	182.0	182.0	146.0
170	259.0	221.0	183.0	183.0	143.0
171	252.0	217.0	179.0	179.0	141.0
172	257.0	221.0	185.0	185.0	149.0
173	253.0	217.0	180.0	180.0	145.0
174	246.0	210.0	173.0	173.0	137.0
175	247.0	211.0	174.0	174.0	138.0
176	269.0	230.0	192.0	192.0	154.0
177	253.0	217.0	182.0	182.0	146.0
178	236.0	200.0	166.0	166.0	131.0
179	255.0	217.0	178.0	178.0	141.0
180	257.0	221.0	185.0	185.0	149.0
181	253.0	216.0	181.0	181.0	146.0
182	277.0	234.0	192.0	192.0	151.0
183	249.0	212.0	175.0	175.0	140.0
184	270.0	231.0	193.0	193.0	154.0
185	250.0	215.0	179.0	179.0	142.0
186	246.0	210.0	172.0	172.0	135.0
187	248.0	211.0	175.0	175.0	139.0
188	254.0	219.0	182.0	182.0	148.0
189	256.0	220.0	184.0	184.0	147.0
190	241.0	206.0	170.0	170.0	134.0
191	245.0	210.0	173.0	173.0	137.0
192	290.0	247.0	204.0	204.0	163.0
193	247.0	213.0	177.0	177.0	142.0
194	251.0	214.0	175.0	175.0	138.0
195	266.0	226.0	186.0	186.0	146.0
196	261.0	223.0	188.0	188.0	150.0
197	251.0	215.0	179.0	179.0	144.0
198	253.0	216.0	177.0	177.0	139.0
199	289.0	244.0	201.0	201.0	156.0
200	263.0	225.0	188.0	188.0	151.0
201	263.0	225.0	188.0	188.0	150.0
202	258.0	218.0	180.0	180.0	141.0
203	250.0	213.0	176.0	176.0	140.0
204	271.0	233.0	194.0	194.0	156.0
205	278.0	238.0	196.0	196.0	156.0
206	255.0	218.0	180.0	180.0	141.0
207	251.0	213.0	176.0	176.0	138.0
208	263.0	226.0	188.0	188.0	150.0
209	255.0	218.0	182.0	182.0	146.0
210	250.0	212.0	175.0	175.0	139.0
211	258.0	220.0	182.0	182.0	143.0
212	261.0	225.0	188.0	188.0	152.0
213	268.0	228.0	188.0	188.0	150.0
214	240.0	206.0	171.0	171.0	135.0
215	252.0	215.0	178.0	178.0	140.0
216	254.0	219.0	181.0	181.0	145.0
217	264.0	226.0	189.0	189.0	152.0
218	246.0	210.0	174.0	174.0	137.0
219	334.0	281.0	228.0	228.0	175.0
220	261.0	225.0	188.0	188.0	151.0
221	269.0	230.0	193.0	193.0	153.0
222	247.0	211.0	175.0	175.0	138.0
223	246.0	209.0	172.0	172.0	136.0
224	253.0	216.0	181.0	181.0	146.0
225	261.0	224.0	188.0	188.0	150.0
226	256.0	219.0	179.0	179.0	141.0
227	275.0	234.0	191.0	191.0	149.0
228	255.0	219.0	183.0	183.0	148.0
229	261.0	223.0	185.0	185.0	148.0
230	249.0	212.0	175.0	175.0	138.0
231	249.0	211.0	175.0	175.0	138.0
232	263.0	226.0	187.0	187.0	150.0
233	264.0	225.0	187.0	187.0	150.0
234	242.0	207.0	171.0	171.0	136.0
235	253.0	216.0	180.0	180.0	142.0
236	255.0	219.0	183.0	183.0	148.0
237	256.0	219.0	182.0	182.0	147.0
238	263.0	224.0	183.0	183.0	144.0
239	257.0	219.0	179.0	179.0	143.0
240	258.0	223.0	186.0	186.0	151.0
241	254.0	217.0	181.0	181.0	146.0
242	247.0	209.0	172.0	172.0	136.0
243	252.0	215.0	177.0	177.0	140.0
244	269.0	231.0	192.0	192.0	155.0
245	258.0	221.0	184.0	184.0	149.0
246	252.0	214.0	175.0	175.0	137.0
247	246.0	209.0	172.0	172.0	137.0
248	263.0	226.0	188.0	188.0	151.0
249	257.0	221.0	184.0	184.0	149.0
250	249.0	212.0	173.0	173.0	136.0
251	257.0	219.0	182.0	182.0	144.0
252	266.0	227.0	189.0	189.0	152.0
253	257.0	220.0	183.0	183.0	147.0
254	267.0	226.0	185.0	185.0	145.0
255	254.0	217.0	177.0	177.0	141.0
256	279.0	238.0	197.0	197.0	157.0
257	249.0	213.0	178.0	178.0	143.0
258	251.0	213.0	176.0	176.0	138.0
259	255.0	218.0	180.0	180.0	142.0
260	255.0	220.0	183.0	183.0	149.0
261	261.0	225.0	187.0	187.0	149.0
262	266.0	226.0	185.0	185.0	145.0
263	254.0	215.0	178.0	178.0	142.0
