/* Tiempo de exposicion:	3	2.4	1.8	1.8	1.2
/* Numero de Scans	1	1	1	1	1
/* Scans Ignorados	0	0	0	0	0
/* Modo de Adquiquisicion	1 	1 	1 	1 	1 
/* Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	700	700	700	700	700
/*Archivo:	barridoP_0003.OMAIII	barridoP_0013.OMAIII	barridoP_0023.OMAIII	barridoP_0033.OMAIII	barridoP_0043.OMAIII
1	61.0	60.0	60.0	60.0	60.0
2	68.0	26.0	0.0	5.0	0.0
3	269.0	240.0	202.0	205.0	169.0
4	378.0	358.0	306.0	310.0	277.0
5	369.0	356.0	308.0	325.0	273.0
6	333.0	325.0	302.0	328.0	239.0
7	336.0	330.0	294.0	324.0	235.0
8	349.0	355.0	288.0	322.0	249.0
9	375.0	386.0	294.0	337.0	270.0
10	372.0	380.0	283.0	339.0	275.0
11	377.0	377.0	316.0	376.0	284.0
12	390.0	385.0	359.0	410.0	293.0
13	374.0	368.0	324.0	364.0	272.0
14	379.0	369.0	299.0	337.0	276.0
15	419.0	414.0	328.0	363.0	317.0
16	445.0	462.0	371.0	405.0	355.0
17	434.0	452.0	402.0	451.0	338.0
18	385.0	399.0	366.0	429.0	291.0
19	470.0	465.0	386.0	447.0	328.0
20	432.0	463.0	357.0	410.0	330.0
21	476.0	529.0	378.0	448.0	366.0
22	480.0	523.0	394.0	496.0	380.0
23	445.0	454.0	421.0	534.0	354.0
24	454.0	457.0	432.0	506.0	352.0
25	488.0	508.0	415.0	461.0	370.0
26	531.0	558.0	410.0	471.0	408.0
27	566.0	578.0	441.0	521.0	459.0
28	542.0	563.0	500.0	580.0	455.0
29	519.0	567.0	543.0	599.0	406.0
30	490.0	566.0	466.0	552.0	371.0
31	525.0	590.0	419.0	545.0	407.0
32	582.0	619.0	460.0	604.0	474.0
33	583.0	578.0	502.0	624.0	489.0
34	561.0	529.0	539.0	613.0	464.0
35	540.0	524.0	527.0	552.0	441.0
