%Comentarios:
%Largo de la muestra: 13.0
%Ancho de la muestra: 5.0
%Espesor de la muestra: 0.5
%Dispositivos y canales utilizados: 
%	 Temperatura de la superior: USB TEMP AI
%		Canal: 1
%	 Temperatura de la muestra: USB TEMP AI
%		 Canal: 0
%	 Temperatura inferior: USB TEMP AI
%		 Canal: 2
%	 Extensometro: USB TEMP AI
%		 Canal: 3
%	 Celda de carga: USB TEMP AI
%		 Canal: 1
%
% Datos por segundo: 1
%
%Tiempo 	 Temperarura inferior 	 Temperatura de la muestra 	 Temperatura superior 	 Extensometro 	 Celda de carga 
%
0.276999950409	20.7131290436	20.1646461487	20.1247959137	-0.747950744629	18.0722105503
1.31399989128	20.738161087	20.134967804	20.1321868896	-0.748040294647	18.1403172016
2.35099983215	20.7251663208	20.1275520325	20.1497936249	-0.74794511795	18.0886507034
3.40599989891	20.6982784271	20.1025009155	20.1145477295	-0.748037147522	18.1246125698
4.44299983978	20.6574897766	20.1061820984	20.1024742126	-0.747958993912	18.1080019474
5.47899985313	20.666727066	20.1154232025	20.0839099884	-0.748025894165	18.0909442902
6.51300001144	20.6778430939	20.1283969879	20.1061553955	-0.747991800308	18.1183409691
7.54799985886	20.6732120514	20.0996665955	20.0978145599	-0.748003339767	18.0903124809
8.58299994469	20.6824760437	20.1107902527	20.0839099884	-0.748022031784	18.1127488613
9.61999988556	20.6982517242	20.1006240845	20.1126689911	-0.747975730896	18.1004452705
10.6559998989	20.6788005829	20.1098880768	20.1126689911	-0.748021745682	18.1127762794
11.6919999123	20.6843566895	20.0959873199	20.0959873199	-0.747976303101	18.0999994278
12.7300000191	20.6686096191	20.0867176056	20.1043281555	-0.748029994965	18.1065392494
13.7669999599	20.6695041656	20.0941066742	20.0839099884	-0.74796628952	18.1215429306
14.8059999943	20.6759910583	20.0857639313	20.1070785522	-0.748036336899	18.0909383297
15.8439998627	20.6815490723	20.0885448456	20.1015205383	-0.747974395752	18.1336605549
16.8819999695	20.6602172852	20.0634918213	20.0560779572	-0.748008298874	18.0924010277
17.9189999104	20.6620979309	20.0903987885	20.098739624	-0.74800901413	18.1160259247
18.9559998512	20.6528339386	20.0811271667	20.1098613739	-0.747965574265	18.1242489815
19.9929997921	20.663022995	20.08020401	20.098739624	-0.748019552231	18.085641861
21.0279998779	20.6917667389	20.1024742126	20.1200847626	-0.747987270355	18.1180119514
22.0609998703	20.6815776825	20.1135997772	20.1219387054	-0.748002099991	18.0977797508
23.0949997902	20.679725647	20.1126689911	20.114522934	-0.748004198074	18.1086206436
24.1309998035	20.6871356964	20.1034011841	20.1256465912	-0.747991275787	18.1108808517
25.1679999828	20.6695327759	20.1219387054	20.1228923798	-0.748019552231	18.1016540527
26.2039999962	20.6992034912	20.1340103149	20.1553535461	-0.747989749908	18.1184446812
27.2419998646	20.7131290436	20.1284790039	20.1748390198	-0.748015165329	18.0883479118
28.2789998055	20.7353820801	20.1544513702	20.1887683868	-0.747877264023	18.1698298454
29.3149998188	20.739112854	20.177646637	20.1859874725	-0.748094987869	18.0568647385
30.3509998322	20.7669029236	20.1674537659	20.1915493011	-0.747959661484	18.1375968456
31.3869998455	20.7437458038	20.1795005798	20.16837883	-0.748067092896	18.0746984482
32.4229998589	20.7530059814	20.1841659546	20.2073383331	-0.747922611237	18.1352198124
33.4599997997	20.7613754272	20.2055130005	20.2212657928	-0.748058700562	18.0970239639
34.4959998131	20.7901229858	20.2129268646	20.2166347504	-0.747948694229	18.1021761894
35.5329999924	20.8095741272	20.1990261078	20.2157058716	-0.748022603989	18.1255400181
36.5699999332	20.7891960144	20.1795310974	20.2166023254	-0.748008871078	18.076236248
37.6050000191	20.7826805115	20.1887989044	20.2036266327	-0.747976303101	18.1225860119
38.640999794	20.7752723694	20.2018051147	20.2221927643	-0.748052930832	18.1012773514
39.6759998798	20.7854881287	20.1971721649	20.2240447998	-0.747977399826	18.1276977062
40.7119998932	20.8012371063	20.195318222	20.2277526855	-0.748024082184	18.0938780308
41.7489998341	20.7771244049	20.1925086975	20.2249412537	-0.747991943359	18.1132984161
42.7860000134	20.7650508881	20.17486763	20.1971092224	-0.747992897034	18.110640049
