%Comentarios:
%Largo de la muestra: 13.0
%Ancho de la muestra: 5.0
%Espesor de la muestra: 0.5
%Dispositivos y canales utilizados: 
%	 Temperatura de la superior: USB TEMP AI
%		Canal: 1
%	 Temperatura de la muestra: AG_34410A
%		 Canal: USB0::2391::1560::my50279055::0
%	 Temperatura inferior: USB TEMP AI
%		 Canal: 2
%	 Extensometro: USB TEMP AI
%		 Canal: 3
%	 Celda de carga: USB TEMP AI
%		 Canal: 1
%
% Datos por segundo: 1
%
%Tiempo 	 Temperarura inferior 	 Temperatura de la muestra 	 Temperatura superior 	 Extensometro 	 Celda de carga 
%
0.46799993515	22.035572052	19.8106062231	20.7459621429	-0.25794980526	17.6526105404
1.63899993896	21.7625865936	19.8106062231	20.733921051	-0.25786190033	17.627748251
2.8109998703	21.7431430817	19.8601872839	20.7441005707	-0.257889509201	17.6116466522
3.98300004005	21.6154155731	19.8106062231	20.7505836487	-0.257939100266	17.6580440998
5.15899991989	21.9615402222	19.8106062231	20.7311286926	-0.257884144783	17.6427662373
6.33399987221	21.9106445312	19.8106062231	20.7274246216	-0.25796918869	17.6300704479
7.51099991798	21.7542362213	19.8106062231	20.7366771698	-0.257932376862	17.6375591755
8.68499994278	21.8800945282	19.8106062231	20.7375965118	-0.257876324654	17.6552963257
9.87400007248	21.7088680267	19.8106062231	20.7533302307	-0.257938694954	17.615596056
11.0669999123	21.6153850555	19.8106062231	20.7366580963	-0.257939100266	17.6533997059
12.2369999886	21.8735904694	19.8106062231	20.7718467712	-0.257909154892	17.6553094387
13.3980000019	22.0725326538	19.8353970751	20.7496166229	-0.257935118675	17.6426005363
14.5690000057	21.620929718	19.8601872839	20.7496166229	-0.257925081253	17.6331341267
15.7349998951	21.6551761627	19.8353970751	20.7347984314	-0.257914376259	17.6353394985
16.9179999828	21.9994392395	19.8353970751	20.73387146	-0.257920694351	17.6330661774
18.1119999886	21.7486572266	19.8601872839	20.7208995819	-0.25789308548	17.6449990273
19.2979998589	21.7356967926	19.8353970751	20.7273864746	-0.257931947708	17.6235926151
20.4630000591	22.0549526215	19.8106062231	20.7208995819	-0.257847070694	17.6346182823
21.6429998875	22.0845603943	19.8353970751	20.7042274475	-0.257906413078	17.6498758793
22.8239998817	22.0891857147	19.8601872839	20.6921863556	-0.257883191109	17.6024472713
23.9960000515	21.6875705719	19.8601872839	20.6940422058	-0.257816028595	17.6828575134
25.1700000763	21.807888031	19.8353970751	20.6681003571	-0.257889795303	17.6089048386
26.3469998837	22.0438594818	19.8353970751	20.6708869934	-0.257714653015	17.6003181934
27.5190000534	21.8837909698	19.8353970751	20.6440372467	-0.257901334763	17.8176689148
28.6930000782	22.0299892426	19.8353970751	20.6477375031	-0.258237862587	17.3725736141
29.868999958	21.7949485779	19.8353970751	20.634759903	-0.257359957695	17.8955364227
31.0399999619	21.6709213257	19.7858147276	20.6375389099	-0.25808236599	17.6932311058
32.2089998722	22.0031490326	19.8353970751	20.6375389099	-0.257559704781	17.5444400311
33.3919999599	21.646856308	19.8106062231	20.6291999817	-0.257714223862	17.7106797695
34.5639998913	21.7477397919	19.8353970751	20.6329078674	-0.257874274254	17.5572240353
35.7369999886	21.991109848	19.8106062231	20.6477184296	-0.257678246498	17.6020419598
36.9129998684	21.791229248	19.8353970751	20.6338176727	-0.257920408249	17.7023601532
38.0850000381	21.4996528625	19.8353970751	20.6365852356	-0.25775475502	17.5676047802
39.257999897	21.9827651978	19.8106062231	20.6495571136	-0.257763266563	17.7196860313
40.4349999428	21.9809169769	19.8106062231	20.637512207	-0.257759141922	17.6255023479
41.626999855	21.8282356262	19.8353970751	20.6088027954	-0.257720828056	17.6553237438
42.7990000248	22.1132335663	19.8353970751	20.6254711151	-0.257843089104	17.6297545433
43.9689998627	22.0882453918	19.8601872839	20.6263866425	-0.257852554321	17.6385200024
45.1510000229	22.0650978088	19.8353970751	20.6569538116	-0.257676172256	17.5978314877
46.3420000076	22.0974845886	19.8353970751	20.638425827	-0.257782506943	17.678797245
47.513999939	21.678276062	19.8601872839	20.6476802826	-0.257993078232	17.6491892338
48.6900000572	21.6523532867	19.8353970751	20.6634216309	-0.257682490349	17.5843119621
49.8629999161	21.8568763733	19.8353970751	20.6884155273	-0.257998847961	17.6727592945
51.0569999218	22.1612854004	19.8106062231	20.6791534424	-0.257928800583	17.6735770702
52.2230000496	21.7402610779	19.8353970751	20.6661815643	-0.257720279694	17.6181042194
53.3929998875	22.0400791168	19.8106062231	20.6930427551	-0.257924127579	17.7118480206
54.5780000687	22.1029834747	19.8353970751	20.6745052338	-0.257829213142	17.6375102997
