%Comentarios:
%Largo de la muestra: 13.65
%Ancho de la muestra: 4.3
%Espesor de la muestra: 0.45
%Dispositivos y canales utilizados: 
%	 Temperatura de la superior: USB TEMP AI
%		Canal: 1
%	 Temperatura de la muestra: USB TEMP AI
%		 Canal: 0
%	 Temperatura inferior: USB TEMP AI
%		 Canal: 2
%	 Extensometro: USB TEMP AI
%		 Canal: 3
%	 Celda de carga: USB TEMP AI
%		 Canal: 1
%
% Datos por segundo: 1
%
%Tiempo 	 Temperarura inferior 	 Temperatura de la muestra 	 Temperatura superior 	 Extensometro 	 Celda de carga 
%
97.0850000381	20.5376605988	19.9204845428	19.9538516998	-0.748080682755	18.1137037277
98.123000145	20.5293254852	19.9232654572	19.9547786713	-0.748075771332	18.1005346775
99.1610000134	20.5302467346	19.9177036285	19.9538516998	-0.748102378845	18.1147897243
100.19900012	20.5320987701	19.9353122711	19.9436569214	-0.748071908951	18.0989682674
101.236999989	20.5330276489	19.9353122711	19.9566326141	-0.748102378845	18.1092393398
102.27699995	20.5450725555	19.9316043854	19.9751911163	-0.74805059433	18.0719435215
103.312999964	20.5302677155	19.9371852875	19.9751911163	-0.748130559921	18.1485950947
104.361999989	20.5432376862	19.9279174805	19.9566497803	-0.748037290573	18.0637335777
105.397000074	20.5497245789	19.9381122589	19.9668502808	-0.748147201538	18.1370747089
106.44900012	20.5543556213	19.9186286926	19.9575595856	-0.748023557663	18.0953276157
107.486000061	20.5330276489	19.9056282043	19.941778183	-0.748117351532	18.1020319462
108.529999971	20.5191059113	19.9046726227	19.9158000946	-0.748042917252	18.1206154823
109.569000006	20.5079631805	19.8694267273	19.9018707275	-0.748078632355	18.0770409107
110.607000113	20.5023803711	19.8685016632	19.8972377777	-0.748086071014	18.124833107
111.647000074	20.4958953857	19.8814754486	19.8963108063	-0.748023557663	18.0817258358
112.68900013	20.4736614227	19.8592300415	19.9037265778	-0.748132610321	18.1087303162
113.729000092	20.4717826843	19.8369617462	19.8842353821	-0.748025178909	18.1165134907
114.769999981	20.4606437683	19.8341579437	19.8582572937	-0.748102807999	18.1018817425
115.809000015	20.4485759735	19.8267154694	19.850818634	-0.748063230515	18.102080822
116.84800005	20.4263095856	19.8081512451	19.8331775665	-0.748064899445	18.0863690376
117.888000011	20.4337234497	19.8053665161	19.8201999664	-0.74803647995	18.1155312061
